X,Y
1,2.62477
2,2.61813
3,2.62758
4,2.60903
5,2.60786
6,2.62783
7,2.61357
8,2.60883
9,2.62218
10,2.60235
11,2.61785
12,2.62334
13,2.59967
14,2.61465
15,2.60787
16,2.60178
17,2.60642
18,2.60411
19,2.62124
20,2.61595
21,2.61112
22,2.59737
23,2.60849
24,2.60936
25,2.61589
26,2.60849
27,2.61533
28,2.59096
29,2.60313
30,2.59679
31,2.60220
32,2.59739
33,2.60063
34,2.61143
35,2.59564
36,2.59384
37,2.59020
38,2.59634
39,2.60370
40,2.59823
41,2.59178
42,2.59342
43,2.57986
44,2.57956
45,2.57549
46,2.58008
47,2.58270
48,2.58396
49,2.58197
50,2.57851
51,2.58794
52,2.58939
53,2.58029
54,2.57709
55,2.57844
56,2.58503
57,2.57896
58,2.57540
59,2.58725
60,2.59365
61,2.58985
62,2.58037
63,2.57945
64,2.58975
65,2.58365
66,2.59496
67,2.59024
68,2.59991
69,2.58428
70,2.58958
71,2.58112
72,2.58629
73,2.58900
74,2.60061
75,2.58867
76,2.60131
77,2.58799
78,2.58617
79,2.58664
80,2.58727
81,2.59081
82,2.59412
83,2.58916
84,2.59608
85,2.59671
86,2.58791
87,2.58815
88,2.59193
89,2.59351
90,2.60257
91,2.60290
92,2.59241
93,2.59000
94,2.60575
95,2.59246
96,2.59133
97,2.59117
98,2.59604
99,2.60221
100,2.60006
101,2.59140
102,2.59209
103,2.59493
104,2.60435
105,2.59441
106,2.59564
107,2.59966
108,2.58321
109,2.59998
110,2.58549
111,2.58550
112,2.59159
113,2.58473
114,2.58537
115,2.59149
116,2.58631
117,2.60808
118,2.59152
119,2.57802
120,2.57392
121,2.58653
122,2.57590
123,2.57495
124,2.56807
125,2.57466
126,2.57764
127,2.57588
128,2.57314
129,2.56900
130,2.57268
131,2.56777
132,2.56207
133,2.57068
134,2.57787
135,2.57833
136,2.57150
137,2.56876
138,2.57291
139,2.57389
140,2.56521
141,2.57008
142,2.57907
143,2.56416
144,2.56691
145,2.57788
146,2.55963
147,2.57036
148,2.57008
149,2.56663
150,2.55661
151,2.56534
152,2.57813
153,2.57832
154,2.56967
155,2.58157
156,2.56394
157,2.55872
158,2.57131
159,2.55623
160,2.57147
161,2.55573
162,2.56148
163,2.56885
164,2.56797
165,2.54825
166,2.55888
167,2.56732
168,2.55397
169,2.56263
170,2.55313
171,2.54513
172,2.55246
173,2.55140
174,2.54938
175,2.53821
176,2.55071
177,2.55758
178,2.53879
179,2.55106
180,2.54270
181,2.55058
182,2.54133
183,2.54672
184,2.55452
185,2.54965
186,2.55339
187,2.54099
188,2.53904
189,2.53849
190,2.54903
191,2.53735
192,2.53176
193,2.54385
194,2.54434
195,2.54040
196,2.54436
197,2.52359
198,2.53670
199,2.54556
200,2.53081
201,2.53191
202,2.54272
203,2.53142
204,2.54311
205,2.53604
206,2.53602
207,2.53175
208,2.54924
209,2.54464
210,2.54324
211,2.53379
212,2.54544
213,2.53500
214,2.52521
215,2.53273
216,2.53279
217,2.53941
218,2.54526
219,2.52713
220,2.56256
221,0.20582
222,0.29125
223,0.22235
224,0.21783
225,0.25404
226,0.26108
227,0.26550
228,0.26717
229,0.23623
230,0.24324
231,0.23325
232,0.23567
233,0.26029
234,0.24117
235,0.24820
236,0.28075
237,0.24419
238,0.24056
239,0.25744
240,0.21370
241,0.24006
242,0.21491
243,0.25418
244,0.25601
245,0.26413
246,0.24033
247,0.25068
248,0.22614
249,0.22971
250,0.22093
251,0.24430
252,0.24304
253,0.25386
254,0.24207
255,0.23692
256,0.25637
257,0.25153
258,0.22826
259,0.24897
260,0.23329
261,0.21408
262,0.23506
263,0.22191
264,0.23392
265,0.26820
266,0.22350
267,0.25728
268,0.27131
269,0.26528
270,0.21327
271,0.26341
272,0.21870
273,0.24468
274,0.25127
275,0.22700
276,0.23469
277,0.22807
278,0.23456
279,0.26249
280,0.25194
281,0.24753
282,0.22266
283,0.22060
284,0.23803
285,0.24405
286,0.22626
287,0.25536
288,0.25917
289,0.23738
290,0.26885
291,0.24976
292,0.22626
293,0.31252
294,3.16295
295,3.43754
296,3.15286
297,3.22184
298,3.32448
299,3.21970
300,3.18799
301,3.23525
302,3.17158
303,3.25452
304,3.41049
305,3.57180
306,3.63772
307,3.79707
308,3.83298
309,3.76572
310,3.83190
311,3.73811
312,3.70756
313,3.86535
314,3.78632
315,3.80825
316,3.76980
317,3.75269
318,3.66148
319,3.56379
320,3.47235
321,3.21831
322,3.65486
323,3.79089
324,3.75866
325,3.79849
326,3.70711
327,3.72199
328,3.73107
329,3.69100
330,3.65944
331,3.66554
332,3.61944
333,3.66971
334,3.66555
335,3.67616
336,3.62818
337,3.55424
338,3.55798
339,3.53555
340,3.52126
341,3.52492
342,3.47877
343,3.48803
344,3.47723
345,3.50645
346,3.42117
347,3.46591
348,3.39308
349,3.37413
350,3.47048
351,3.40077
352,3.35758
353,3.35558
354,3.36328
355,3.34812
356,3.39992
357,3.33579
358,3.13971
359,3.19090
360,3.30672
361,3.34144
362,3.24301
363,3.18526
364,3.16324
365,3.24250
366,3.20768
367,3.24200
368,3.14336
369,3.18624
370,3.20537
371,3.22509
372,3.21733
373,3.16313
374,3.15961
375,3.18543
376,3.16411
377,3.18797
378,3.16520
379,3.10234
380,3.14462
381,3.13726
382,3.12007
383,3.12949
384,3.09791
385,3.07634
386,3.14790
387,3.13885
388,3.04531
389,3.10437
390,3.11364
391,3.07698
392,3.04172
393,2.95280
394,3.00167
395,3.02843
396,3.04717
397,2.98795
398,3.02220
399,3.05402
400,2.99072
401,3.01050
402,3.07322
403,3.06472
404,3.01357
405,3.03665
406,3.01081
407,3.01961
408,2.89262
409,2.93137
410,2.92017
411,2.93062
412,2.88832
413,2.73619
414,2.79236
415,2.84506
416,2.89266
417,2.86807
418,2.88463
419,2.91780
420,2.86643
421,2.86641
422,2.84845
423,2.85611
424,2.88895
425,2.89261
426,2.88045
427,2.89178
428,2.81540
429,2.80131
430,2.78999
431,2.81233
432,2.85158
433,2.77808
434,2.79084
435,2.71614
436,2.81632
437,2.78789
438,2.74966
439,2.75033
440,2.71369
441,2.76555
442,2.74757
443,2.72781
444,2.69083
445,2.71518
446,2.75719
447,2.73581
448,2.72250
449,2.64197
450,2.70730
451,2.71774
452,2.68744
453,2.67201
454,2.67473
455,2.73034
456,2.73015
457,2.73844
458,2.72241
459,2.68339
460,2.64530
461,2.65899
462,2.69224
463,2.72308
464,2.68540
465,2.68736
466,2.58727
467,2.65855
468,2.66276
469,2.61815
470,2.64382
471,2.65674
472,2.63433
473,2.57357
474,2.63985
475,2.63186
476,2.57244
477,2.59985
478,2.58333
479,2.65644
480,2.58084
481,2.63731
482,2.57486
483,2.56335
484,2.58089
485,2.59123
486,2.53157
487,2.55789
488,2.58782
489,2.58613
490,2.59341
491,2.62347
492,2.55612
493,2.58657
494,2.57913
495,2.56285
496,2.58487
497,2.57261
498,2.55881
499,2.56903
500,2.50047
501,2.48114
502,2.58540
503,2.51246
504,2.50714
