X,Y
1,2.78068
2,2.77748
3,2.77449
4,2.77882
5,2.77129
6,2.77815
7,2.77526
8,2.77317
9,2.77507
10,2.78001
11,2.77379
12,2.77409
13,2.77860
14,2.77292
15,2.77670
16,2.77598
17,2.77679
18,2.77484
19,2.77471
20,2.76964
21,2.78001
22,2.77199
23,2.77358
24,2.77562
25,2.78052
26,2.78020
27,2.77592
28,2.77203
29,2.77247
30,2.77427
31,2.76338
32,2.77677
33,2.76722
34,2.76339
35,2.75804
36,2.77841
37,2.78228
38,2.76520
39,2.77431
40,2.77841
41,2.76679
42,2.76009
43,2.77607
44,2.75839
45,2.76235
46,2.75496
47,2.76328
48,2.75677
49,2.75538
50,2.77098
51,2.76714
52,2.76424
53,2.75925
54,2.76350
55,2.76052
56,2.76554
57,2.76676
58,2.76500
59,2.76289
60,2.76263
61,2.76614
62,2.75428
63,2.76169
64,2.76707
65,2.77229
66,2.75812
67,2.76305
68,2.76520
69,2.76449
70,2.77319
71,2.76709
72,2.76843
73,2.76194
74,2.76697
75,2.75907
76,2.76146
77,2.76015
78,2.76661
79,2.77248
80,2.76301
81,2.76275
82,2.76312
83,2.76745
84,2.76082
85,2.77103
86,2.76646
87,2.76673
88,2.76424
89,2.76050
90,2.76986
91,2.75897
92,2.76088
93,2.75717
94,2.76057
95,2.75888
96,2.77144
97,2.76753
98,2.76039
99,2.75904
100,2.76805
101,2.75912
102,2.76826
103,2.76017
104,2.76197
105,2.76072
106,2.76838
107,2.75828
108,2.76584
109,2.76254
110,2.75686
111,2.75650
112,2.75796
113,2.76887
114,2.77144
115,2.76460
116,2.75515
117,2.76912
118,2.78562
119,2.75917
120,2.76000
121,2.76285
122,2.75757
123,2.75799
124,2.75782
125,2.75970
126,2.75813
127,2.75170
128,2.75876
129,2.75621
130,2.75409
131,2.74988
132,2.74900
133,2.76010
134,2.76058
135,2.75677
136,2.75707
137,2.75801
138,2.75740
139,2.76118
140,2.74929
141,2.75958
142,2.76288
143,2.75713
144,2.75071
145,2.75325
146,2.75430
147,2.74773
148,2.75620
149,2.75363
150,2.75088
151,2.74592
152,2.75301
153,2.74865
154,2.75704
155,2.75771
156,2.75221
157,2.75513
158,2.75395
159,2.75176
160,2.75397
161,2.74634
162,2.75297
163,2.75102
164,2.75387
165,2.74813
166,2.75467
167,2.75499
168,2.74251
169,2.75918
170,2.75295
171,2.74952
172,2.74843
173,2.76301
174,2.74986
175,2.76228
176,2.74986
177,2.75579
178,2.75686
179,2.75974
180,2.75841
181,2.75352
182,2.75801
183,2.75628
184,2.75598
185,2.75072
186,2.75190
187,2.75588
188,2.76076
189,2.74767
190,2.74552
191,2.75795
192,2.74901
193,2.75365
194,2.74660
195,2.74932
196,2.74683
197,2.75142
198,2.76400
199,2.76027
200,2.75909
201,2.75138
202,2.75609
203,2.76270
204,2.75433
205,2.75947
206,2.75245
207,2.76679
208,2.75315
209,2.74997
210,2.76046
211,2.74559
212,2.76021
213,2.76485
214,2.75851
215,2.75816
216,2.76445
217,2.75871
218,2.76456
219,2.75742
220,2.77614
221,0.21637
222,0.23659
223,0.21565
224,0.20363
225,0.25265
226,0.21260
227,0.21969
228,0.22344
229,0.23937
230,0.21902
231,0.24153
232,0.21214
233,0.23624
234,0.22599
235,0.22393
236,0.23271
237,0.23661
238,0.23346
239,0.21172
240,0.22997
241,0.22243
242,0.23426
243,0.22905
244,0.19947
245,0.22189
246,0.21846
247,0.24487
248,0.21614
249,0.23714
250,0.20871
251,0.23780
252,0.22278
253,0.24242
254,0.22188
255,0.22476
256,0.20727
257,0.21028
258,0.23226
259,0.22392
260,0.21993
261,0.22820
262,0.22255
263,0.22956
264,0.22678
265,0.23886
266,0.24311
267,0.21162
268,0.21897
269,0.23151
270,0.23737
271,0.21163
272,0.22408
273,0.22495
274,0.21639
275,0.21182
276,0.23652
277,0.20243
278,0.23980
279,0.19708
280,0.20174
281,0.22078
282,0.23016
283,0.22803
284,0.23473
285,0.22164
286,0.21748
287,0.23240
288,0.22643
289,0.21584
290,0.23117
291,0.22517
292,0.20889
293,0.21384
294,1.58906
295,3.85346
296,3.42227
297,3.60968
298,3.76484
299,3.65225
300,3.64925
301,3.66951
302,3.65936
303,3.73744
304,3.77981
305,3.71874
306,3.64631
307,3.46145
308,3.30003
309,3.42173
310,3.25015
311,2.78018
312,2.52205
313,2.92004
314,3.09563
315,3.11593
316,2.99579
317,2.82819
318,2.57418
319,2.33028
320,2.17222
321,1.89234
322,2.32726
323,2.85258
324,2.93812
325,2.82218
326,2.70290
327,2.67380
328,2.67137
329,2.64720
330,2.61598
331,2.64117
332,2.53191
333,2.46391
334,2.52312
335,2.47921
336,2.48166
337,2.46541
338,2.42631
339,2.40816
340,2.40674
341,2.40535
342,2.39696
343,2.36453
344,2.35982
345,2.33329
346,2.32462
347,2.31078
348,2.28352
349,2.30556
350,2.34285
351,2.30160
352,2.26301
353,2.23527
354,2.23201
355,2.21673
356,2.24256
357,2.17514
358,2.02028
359,2.01382
360,2.17684
361,2.20199
362,2.20236
363,2.20970
364,2.19979
365,2.16954
366,2.14362
367,2.14529
368,2.14275
369,2.12090
370,2.12878
371,2.07499
372,2.09350
373,2.12918
374,2.08070
375,2.07113
376,2.10743
377,2.07291
378,2.03708
379,2.02341
380,2.02566
381,2.04313
382,2.05657
383,2.04476
384,2.07077
385,2.03699
386,2.06340
387,2.00856
388,2.00643
389,2.03920
390,2.01071
391,1.99260
392,1.92110
393,1.85746
394,1.89602
395,1.94873
396,1.96104
397,1.92241
398,1.97699
399,1.96756
400,1.98238
401,2.00604
402,2.05812
403,2.05317
404,1.97987
405,1.96255
406,1.93517
407,1.92145
408,1.92709
409,1.87943
410,1.90095
411,1.86786
412,1.83289
413,1.73256
414,1.74860
415,1.82320
416,1.89019
417,1.87703
418,1.87332
419,1.89678
420,1.86172
421,1.88215
422,1.83926
423,1.81211
424,1.83938
425,1.83747
426,1.87010
427,1.83682
428,1.83805
429,1.83495
430,1.82309
431,1.82344
432,1.81698
433,1.84794
434,1.81456
435,1.81521
436,1.82081
437,1.81496
438,1.79309
439,1.80064
440,1.81521
441,1.76053
442,1.76162
443,1.77001
444,1.76129
445,1.77478
446,1.77050
447,1.75973
448,1.80871
449,1.79360
450,1.77052
451,1.78804
452,1.73309
453,1.77793
454,1.72125
455,1.76933
456,1.75550
457,1.75149
458,1.74986
459,1.75950
460,1.75149
461,1.73226
462,1.76424
463,1.75245
464,1.74522
465,1.71999
466,1.70318
467,1.72258
468,1.70126
469,1.66786
470,1.69888
471,1.71296
472,1.72567
473,1.73139
474,1.70678
475,1.67815
476,1.70315
477,1.70786
478,1.69896
479,1.70014
480,1.72171
481,1.69151
482,1.71398
483,1.70316
484,1.71956
485,1.70000
486,1.69232
487,1.70514
488,1.66616
489,1.66743
490,1.67335
491,1.67784
492,1.68267
493,1.68602
494,1.65762
495,1.66801
496,1.69388
497,1.71477
498,1.73108
499,1.67193
500,1.67832
501,1.67337
502,1.64377
503,1.64717
504,1.63569
505,1.62504
506,1.65651
507,1.62300
508,1.59586
509,1.64232
510,1.66362
511,1.66168
512,1.64684
513,1.65767
514,1.64836
515,1.60709
516,1.66703
517,1.62337
518,1.63029
519,1.61002
520,1.64925
521,1.65354
522,1.63471
523,1.58748
524,1.61313
525,1.59952
526,1.60102
527,1.60142
528,1.58630
529,1.62660
530,1.61982
531,1.60935
532,1.60520
533,1.58979
534,1.62585
