X,Y
1,1.009073
2,1.012424
3,1.012370
4,1.016745
5,1.010419
6,1.017972
7,1.007882
8,1.014005
9,1.016572
10,1.024128
11,1.012772
12,1.011052
13,1.013949
14,1.007555
15,1.014346
16,1.019874
17,1.019271
18,1.019138
19,1.018961
20,1.019695
21,1.013967
22,1.011425
23,1.014523
24,1.016827
25,1.020204
26,1.019469
27,1.015383
28,1.019114
29,1.024052
30,1.017919
31,1.014967
32,1.017539
33,1.014073
34,1.017792
35,1.017121
36,1.019487
37,1.012724
38,1.017586
39,1.013785
40,1.008108
41,1.007497
42,1.015797
43,1.016568
44,1.018293
45,1.015432
46,1.019313
47,1.017194
48,1.011068
49,1.016969
50,1.016662
51,1.012633
52,1.013582
53,1.017719
54,1.008648
55,1.015657
56,1.016362
57,1.017705
58,1.022028
59,1.012795
60,1.003059
61,1.007022
62,1.018720
63,1.012596
64,1.011319
65,1.010957
66,1.007482
67,1.001483
68,1.009728
69,1.010326
70,1.008235
71,1.008505
72,1.011249
73,1.005899
74,1.006475
75,1.002468
76,1.003349
77,1.003174
78,1.006181
79,1.007303
80,1.001514
81,1.007548
82,1.009402
83,1.002697
84,1.003784
85,1.001895
86,0.999536
87,1.006960
88,1.005962
89,1.005377
90,1.004389
91,1.002773
92,0.997364
93,1.003742
94,1.001689
95,1.004708
96,1.007492
97,0.998207
98,1.004405
99,0.999408
100,0.998596
101,1.002517
102,0.998065
103,1.005436
104,0.998294
105,1.005959
106,0.996992
107,1.000966
108,0.994396
109,0.990747
110,0.996125
111,1.001330
112,0.995869
113,0.996302
114,0.995966
115,1.001986
116,0.992840
117,0.994345
118,0.993955
119,0.986647
120,1.001778
121,1.000270
122,0.995586
123,0.992235
124,0.993553
125,0.989582
126,0.998426
127,0.990159
128,0.997945
129,0.988550
130,0.985899
131,0.993196
132,0.996364
133,0.992224
134,0.994902
135,0.998486
136,0.993617
137,0.986701
138,0.985866
139,0.983585
140,0.994657
141,0.987003
142,0.994707
143,0.991060
144,0.987574
145,0.987315
146,0.976144
147,0.984894
148,0.979621
149,0.990086
150,0.985436
151,0.989169
152,0.988998
153,0.990149
154,0.982614
155,0.982288
156,0.978335
157,0.981973
158,0.973978
159,0.977113
160,0.970935
161,0.983502
162,0.985779
163,0.978007
164,0.990224
165,0.991112
166,0.986821
167,0.981549
168,0.980198
169,0.984287
170,0.979937
171,0.985501
172,0.980432
173,0.975622
174,0.987181
175,0.976671
176,0.981122
177,0.978822
178,0.976870
179,0.981102
180,0.976742
181,0.975938
182,0.972992
183,0.981826
184,0.978901
185,0.976161
186,0.972901
187,0.977422
188,0.979119
189,0.975294
190,0.964858
191,0.978427
192,0.980174
193,0.969143
194,0.976490
195,0.977488
196,0.976982
197,0.962435
198,0.956483
199,0.967692
200,0.972469
201,0.982111
202,0.979114
203,0.966742
204,0.974468
205,0.966037
206,0.965621
207,0.974401
208,0.977652
209,0.968901
210,0.964533
211,0.960620
212,0.964498
213,0.963901
214,0.974224
215,0.971594
216,0.969500
217,0.981261
218,0.966375
219,0.965811
220,0.974780
221,0.980269
222,0.971177
223,0.975125
224,0.964847
225,0.959747
226,0.966488
227,0.970805
228,0.969691
229,0.970700
230,0.955059
231,0.955651
232,0.957324
233,0.954225
234,0.966503
235,0.972933
236,0.981502
237,0.969577
238,0.958598
239,0.952283
240,0.953908
241,0.964921
242,0.968903
243,0.969895
244,0.965166
245,0.966735
246,0.967883
247,0.963570
248,0.968585
249,0.962973
250,0.959997
251,0.972339
252,0.963908
253,0.979203
254,0.969292
255,0.971060
256,0.964938
257,0.967334
258,0.965702
259,0.947966
260,0.958815
261,0.949385
262,0.941436
263,0.946486
264,0.951198
265,0.956705
266,0.947203
267,0.941883
268,0.950346
269,0.939844
270,0.954413
271,0.946493
272,0.960426
273,0.962519
274,0.960213
275,0.955300
276,0.940953
277,0.946316
278,0.949619
279,0.956946
280,0.952598
281,0.969010
282,0.972480
283,0.964834
284,0.966289
285,0.964858
286,0.966675
287,0.955127
288,0.945870
289,0.956817
290,0.959616
291,0.957204
292,0.965780
293,0.951634
294,0.938498
295,0.935532
296,0.934023
297,0.950561
298,0.961838
299,0.963322
300,0.951770
301,0.934263
302,0.947241
303,0.957146
304,0.953114
305,0.956813
306,0.964469
307,0.972414
308,0.958160
309,0.967471
310,0.962847
311,0.956242
312,0.960822
313,0.955247
314,0.947096
315,0.954452
316,0.963845
317,0.961384
318,0.957374
319,0.955914
320,0.950946
321,0.932342
322,0.929248
323,0.953040
324,0.957508
325,0.952083
326,0.945317
327,0.953142
328,0.958291
329,0.956782
330,0.946835
331,0.957924
332,0.943331
333,0.923631
334,0.918632
335,0.939556
336,0.955233
337,0.946687
338,0.955982
339,0.956953
340,0.962543
341,0.956854
342,0.960601
343,0.957977
344,0.953996
345,0.947454
346,0.920176
347,0.936971
348,0.950703
349,0.953136
350,0.912500
351,0.870016
352,0.908085
353,0.945210
354,0.950515
355,0.958122
356,0.952785
357,0.958891
358,0.963329
359,0.956966
360,0.961738
361,0.960048
362,0.966640
363,0.968991
364,0.962719
365,0.954901
366,0.960689
367,0.958894
368,0.948739
369,0.912823
370,0.840423
371,0.835178
372,0.895978
373,0.920491
374,0.949208
375,0.963530
376,0.951128
377,0.949312
378,0.966190
379,0.956996
380,0.934306
381,0.957530
382,0.953983
383,0.959353
384,0.956925
385,0.965183
386,0.959794
387,0.952271
388,0.947048
389,0.945442
390,0.960158
391,0.965247
392,0.961138
393,0.952207
394,0.950360
395,0.961068
396,0.972160
397,0.962175
398,0.964180
399,0.959079
400,0.950254
401,0.949057
402,0.947883
403,0.949457
404,0.961189
405,0.957269
406,0.966800
407,0.963412
408,0.958034
409,0.960641
410,0.955694
411,0.958201
412,0.951347
413,0.953913
414,0.954007
415,0.951055
416,0.957558
417,0.938952
418,0.928857
419,0.922890
420,0.912538
421,0.905982
422,0.950471
423,0.950037
424,0.950978
425,0.955751
426,0.966896
427,0.968464
428,0.962460
429,0.958368
430,0.956589
431,0.952637
432,0.964456
433,0.952331
434,0.960243
435,0.952829
436,0.898798
437,0.853710
438,0.880814
439,0.918696
440,0.942761
441,0.944351
442,0.950587
443,0.959137
444,0.959214
445,0.956887
446,0.959479
447,0.952103
448,0.957098
449,0.959095
450,0.954860
451,0.956374
452,0.947618
453,0.957771
454,0.956159
455,0.965276
456,0.959142
457,0.909671
458,0.837608
459,0.848973
460,0.896618
461,0.933143
462,0.945220
463,0.943718
464,0.945761
465,0.957135
466,0.958691
467,0.952027
468,0.956023
469,0.959820
470,0.952806
471,0.956546
472,0.960262
473,0.964166
474,0.967370
475,0.965460
476,0.959936
477,0.944896
478,0.899035
479,0.862066
480,0.877251
481,0.923019
482,0.942554
483,0.944987
484,0.958601
485,0.952585
486,0.957633
487,0.949001
488,0.956760
489,0.946754
490,0.951761
491,0.939804
492,0.878598
493,0.758278
494,0.674232
495,0.722435
496,0.829237
497,0.884919
498,0.917152
499,0.908997
500,0.917014
501,0.926587
502,0.957319
503,0.940644
504,0.943595
505,0.957629
506,0.956012
507,0.946970
508,0.963393
509,0.964750
510,0.964065
511,0.960577
512,0.959607
513,0.957895
514,0.949793
515,0.939154
516,0.943700
517,0.958740
518,0.952467
519,0.949639
520,0.927955
521,0.930210
522,0.944562
523,0.950018
524,0.963604
525,0.966343
526,0.966646
527,0.957754
528,0.952340
