X,Y
1,35.3977
2,33.2232
3,30.2598
4,28.0703
5,25.4171
6,23.5519
7,21.6870
8,23.2104
9,22.7386
10,20.4938
11,18.3557
12,18.5696
13,19.0253
14,18.5028
15,19.6408
16,19.7289
17,18.8336
18,17.9348
19,17.0793
20,16.1590
21,15.6038
22,16.0121
23,16.5572
24,16.8792
25,17.1988
26,16.9310
27,16.4305
28,16.0693
29,15.7083
30,15.4387
31,15.1787
32,14.9102
33,14.7454
34,14.6797
35,14.6619
36,14.7520
37,14.7848
38,14.7569
39,14.7411
40,14.8287
41,15.1274
42,15.6220
43,16.0960
44,16.5235
45,16.7809
46,16.9006
47,16.9976
48,17.0864
49,17.1763
50,17.2277
51,17.0949
52,17.0108
53,17.0370
54,17.0448
55,17.0675
56,17.1084
57,17.0580
58,16.9531
59,16.7529
60,16.7185
61,16.8172
62,16.8209
63,16.8301
64,16.7691
65,16.7402
66,16.7299
67,16.7324
68,16.7135
69,16.8129
70,16.8287
71,16.8648
72,16.9612
73,17.0268
74,17.0975
75,17.1884
76,17.2258
77,17.3016
78,17.3856
79,17.4283
80,17.4360
81,17.4567
82,17.5037
83,17.5252
84,17.5625
85,17.5912
86,17.5996
87,17.5898
88,17.5927
89,17.5255
90,17.4628
91,17.3526
92,17.3528
93,17.3240
94,17.2811
95,17.1533
96,17.0754
97,17.0386
98,17.0538
99,16.9636
100,17.0015
101,17.0109
102,16.9505
103,16.9629
104,16.9588
105,16.9053
106,16.8893
107,16.8489
108,16.7691
109,16.6619
110,16.6210
111,16.5065
112,16.4916
113,16.4517
114,16.3953
115,16.3494
116,16.2411
117,16.1930
118,16.1577
119,16.0237
120,15.9496
121,15.9313
122,15.8619
123,15.8566
124,15.6931
125,15.5436
126,15.4565
127,15.4669
128,15.4628
129,15.3571
130,15.2940
131,15.2488
132,15.2211
133,15.1524
134,15.0947
135,14.9891
136,14.9350
137,14.8837
138,14.7621
139,14.6345
140,14.5731
141,14.5141
142,14.4947
143,14.3582
144,14.1896
145,14.0239
146,14.0539
147,14.0668
148,14.0400
149,14.0013
150,13.9305
151,13.7807
152,13.7634
153,13.7607
154,13.7590
155,13.7062
156,13.5542
157,13.4367
158,13.3853
159,13.3744
160,13.3614
161,13.3475
162,13.2939
163,13.2396
164,13.1668
165,13.0857
166,13.0027
167,12.9664
168,12.8881
169,12.8511
170,12.8006
171,12.7418
172,12.6764
173,12.6141
174,12.6089
175,12.5101
176,12.4028
177,12.2806
178,12.2261
179,12.2412
180,12.2163
181,12.1855
182,12.1548
183,12.1178
184,12.0582
185,11.9960
186,11.9145
187,11.8633
188,11.8439
189,11.8123
190,11.7497
191,11.7374
192,11.7089
193,11.6370
194,11.5738
195,11.5131
196,11.4797
197,11.4436
198,11.3527
199,11.3382
200,11.3221
201,11.3782
202,11.3597
203,11.2601
204,11.1884
205,11.1405
206,11.0631
207,11.0262
208,10.9792
209,10.9279
210,10.8789
211,10.8125
212,10.7605
213,10.6977
214,10.6919
215,10.7001
216,10.6245
217,10.5666
218,10.5361
219,10.5558
220,10.4971
221,10.4774
222,10.4462
223,10.3832
224,10.3518
225,10.2811
226,10.2397
227,10.1979
228,10.1956
229,10.1567
230,10.0891
231,10.0417
232,10.0095
233,9.9753
234,9.9974
235,9.9592
236,9.9322
237,9.8628
238,9.7808
239,9.7403
240,9.7240
241,9.7180
242,9.6788
243,9.6726
244,9.5563
245,9.3084
246,9.2357
247,9.2747
248,9.3801
249,9.3258
250,9.1490
251,9.1155
252,9.2081
253,9.1861
254,9.1786
255,9.1537
256,9.0790
257,9.0160
258,8.9248
259,8.8087
260,8.7245
261,8.5951
262,8.4783
263,8.3954
264,8.2984
265,8.2195
266,8.1674
267,8.1488
268,8.1695
269,8.2283
270,8.2767
271,8.3395
272,8.3965
273,8.4457
274,8.4881
275,8.4681
276,8.4633
277,8.5276
278,8.5345
279,8.5212
280,8.5476
281,8.5369
282,8.5703
283,8.5539
284,8.5655
285,8.5220
286,8.4706
287,8.4417
288,8.4337
289,8.4233
290,8.4409
291,8.4062
292,8.3850
293,8.3725
294,8.3090
295,8.2555
296,8.2327
297,8.2724
298,8.2923
299,8.2576
300,8.2289
301,8.1459
302,8.1564
303,8.1464
304,8.1630
305,8.1364
306,8.1346
307,8.1088
308,8.1260
309,8.1100
310,8.0920
311,8.0732
312,8.0418
313,7.9970
314,7.9996
315,7.9782
316,8.0211
317,8.0050
318,7.9760
319,7.9408
320,7.8684
321,7.7768
322,7.7767
323,7.8240
324,7.8039
325,7.7124
326,7.6693
327,7.6753
328,7.7133
329,7.7009
330,7.6937
331,7.6638
332,7.6257
333,7.5490
334,7.5128
335,7.5559
336,7.6155
337,7.5938
338,7.5767
339,7.5476
340,7.5325
341,7.5247
342,7.5037
343,7.5131
344,7.5026
345,7.4759
346,7.3690
347,7.4105
348,7.3876
349,7.3752
350,7.1823
351,6.8675
352,6.8098
353,6.9599
354,7.1057
355,7.1952
356,7.2636
357,7.2500
358,7.2458
359,7.2668
360,7.2589
361,7.2486
362,7.2615
363,7.2571
364,7.2168
365,7.2281
366,7.2083
367,7.1695
368,7.1203
369,6.9721
370,6.7947
371,6.8202
372,6.9275
373,6.9880
374,7.0433
375,7.0456
376,7.0401
377,7.0469
378,7.0414
379,7.0039
380,6.9601
381,6.9464
382,6.8851
383,6.8741
384,6.8725
385,6.9141
386,6.9093
387,6.9051
388,6.9069
389,6.8596
390,6.8690
391,6.8619
392,6.8544
393,6.8520
394,6.8398
395,6.8278
396,6.8255
397,6.7824
398,6.8098
399,6.7937
400,6.7633
401,6.7103
402,6.7075
403,6.7052
404,6.6870
405,6.7293
406,6.7333
407,6.6966
408,6.6992
409,6.6716
410,6.6636
411,6.6378
412,6.6301
413,6.6325
414,6.6083
415,6.6242
416,6.5716
417,6.5065
418,6.4965
419,6.4497
420,6.4128
421,6.4445
422,6.4815
423,6.5152
424,6.5103
425,6.4655
426,6.4869
427,6.4785
428,6.4539
429,6.4633
430,6.4734
431,6.4208
432,6.4264
433,6.4002
434,6.3797
435,6.3620
436,6.2287
437,6.1750
438,6.2587
439,6.2914
440,6.3040
441,6.3126
442,6.3017
443,6.2952
444,6.2972
445,6.2800
446,6.2551
447,6.1125
448,5.8547
449,5.7587
450,5.7743
451,5.8344
452,5.9556
453,6.0313
454,6.0816
455,6.1286
456,6.1092
457,5.9929
458,5.8590
459,5.8976
460,5.9788
461,6.0443
462,6.0601
463,6.0920
464,6.1114
465,6.0931
466,6.0867
467,6.1184
468,6.0987
469,6.0673
470,6.0519
471,6.0735
472,6.0017
473,6.0026
474,6.0126
475,6.0005
476,6.0012
477,5.9220
478,5.7602
479,5.7260
480,5.7779
481,5.8800
482,5.9128
483,5.8991
484,5.8793
485,5.9327
486,5.9216
487,5.9225
488,5.9467
489,5.9438
490,5.9150
491,5.8478
492,5.6082
493,5.2759
494,5.1620
495,5.3160
496,5.5017
497,5.6236
498,5.6688
499,5.6965
500,5.6953
501,5.7359
502,5.7476
503,5.7399
504,5.7720
505,5.7786
506,5.7678
507,5.7891
508,5.7785
509,5.7689
510,5.7260
511,5.7423
512,5.7448
513,5.7205
514,5.6699
515,5.6425
516,5.6442
517,5.5978
518,5.4452
519,5.1778
520,4.9268
521,4.9420
522,5.1247
523,5.2866
524,5.3857
525,5.4574
526,5.5041
527,5.5446
528,5.5537
529,5.5468
530,5.5623
531,5.5595
532,5.4849
533,5.4056
534,5.3137
535,5.2912
536,5.3774
537,5.4404
538,5.4598
539,5.3940
540,5.2874
541,5.2515
542,5.3586
543,5.4177
544,5.4531
545,5.4679
546,5.4974
547,5.4863
548,5.5089
549,5.5107
550,5.5091
551,5.5044
552,5.4862
553,5.4643
554,5.4071
555,5.4236
556,5.4231
557,5.4018
558,5.3486
559,5.2860
560,5.2281
561,5.1657
562,5.1233
563,5.1845
564,5.2296
565,5.2645
566,5.3060
567,5.3581
568,5.3456
569,5.3396
570,5.3536
571,5.3510
572,5.3455
573,5.3203
574,5.3505
575,5.3444
576,5.3452
577,5.3154
578,5.3208
579,5.3143
580,5.3121
581,5.3096
582,5.2935
583,5.3051
584,5.3115
585,5.2938
586,5.2887
587,5.2891
588,5.2704
589,5.2698
590,5.2735
591,5.2812
592,5.2670
593,5.2522
594,5.2345
595,5.2502
596,5.2295
597,5.2285
598,5.2118
599,5.2064
600,5.1835
601,5.1209
602,5.0099
603,4.9164
604,4.8943
605,4.9810
606,5.0576
607,5.0877
608,5.0992
609,5.1265
610,5.1177
611,5.1340
612,5.1211
613,5.1027
614,5.1130
615,5.0977
616,5.0860
