X,Y
1,10.4209
2,9.6879
3,8.8539
4,8.2074
5,7.4969
6,6.9429
7,6.4562
8,6.7535
9,6.6009
10,6.0132
11,5.4857
12,5.5077
13,5.5597
14,5.4572
15,5.6931
16,5.7043
17,5.4880
18,5.2637
19,5.0464
20,4.8109
21,4.6740
22,4.7514
23,4.8791
24,4.9580
25,5.0109
26,4.9545
27,4.8282
28,4.7357
29,4.6508
30,4.5687
31,4.5138
32,4.4453
33,4.4108
34,4.3877
35,4.3851
36,4.3965
37,4.4125
38,4.4082
39,4.4037
40,4.4230
41,4.4969
42,4.6227
43,4.7446
44,4.8486
45,4.9108
46,4.9541
47,4.9833
48,5.0034
49,5.0201
50,5.0267
51,5.0139
52,4.9932
53,4.9928
54,5.0072
55,5.0276
56,5.0205
57,5.0172
58,4.9913
59,4.9489
60,4.9576
61,4.9704
62,4.9752
63,4.9719
64,4.9633
65,4.9590
66,4.9495
67,4.9547
68,4.9708
69,4.9830
70,4.9848
71,4.9908
72,5.0046
73,5.0287
74,5.0445
75,5.0610
76,5.0741
77,5.0966
78,5.1123
79,5.1124
80,5.1216
81,5.1235
82,5.1272
83,5.1309
84,5.1485
85,5.1454
86,5.1453
87,5.1533
88,5.1453
89,5.1310
90,5.1148
91,5.0779
92,5.0691
93,5.0696
94,5.0526
95,5.0108
96,4.9939
97,4.9797
98,4.9733
99,4.9616
100,4.9501
101,4.9539
102,4.9444
103,4.9375
104,4.9393
105,4.9211
106,4.9083
107,4.8867
108,4.8674
109,4.8452
110,4.8238
111,4.7935
112,4.7788
113,4.7623
114,4.7504
115,4.7272
116,4.7097
117,4.6906
118,4.6744
119,4.6521
120,4.6232
121,4.6061
122,4.6011
123,4.5755
124,4.5410
125,4.5150
126,4.4819
127,4.4611
128,4.4576
129,4.4385
130,4.4204
131,4.3980
132,4.3905
133,4.3670
134,4.3443
135,4.3140
136,4.3068
137,4.2831
138,4.2604
139,4.2240
140,4.1947
141,4.1854
142,4.1677
143,4.1388
144,4.0917
145,4.0504
146,4.0590
147,4.0467
148,4.0461
149,4.0345
150,4.0078
151,3.9663
152,3.9573
153,3.9570
154,3.9472
155,3.9247
156,3.8954
157,3.8680
158,3.8464
159,3.8459
160,3.8322
161,3.8174
162,3.8077
163,3.7927
164,3.7718
165,3.7556
166,3.7298
167,3.7174
168,3.6924
169,3.6799
170,3.6561
171,3.6529
