X,Y
1,23.4093
2,22.4560
3,21.1734
4,20.0856
5,19.4233
6,18.3653
7,18.4410
8,18.6440
9,17.5914
10,16.0133
11,15.4432
12,15.6845
13,15.2681
14,15.6133
15,15.6702
16,14.9234
17,14.0472
18,13.2254
19,12.3701
20,11.5874
21,11.5062
22,11.7903
23,11.8373
24,11.7869
25,11.5178
26,11.0360
27,10.6202
28,10.2395
29,9.8756
30,9.5533
31,9.2434
32,8.9213
33,8.6965
34,8.4614
35,8.3621
36,8.2498
37,8.0489
38,7.9171
39,7.7958
40,7.8041
41,7.9040
42,8.0685
43,8.1539
44,8.1840
45,8.1753
46,8.0611
47,7.9459
48,7.8425
49,7.7424
50,7.6493
51,7.4179
52,7.2611
53,7.1371
54,7.0525
55,6.9496
56,6.8025
57,6.6927
58,6.3936
59,6.2249
60,6.1911
61,6.1315
62,6.0322
63,5.8913
64,5.7951
65,5.6916
66,5.5828
67,5.5480
68,5.4691
69,5.4352
70,5.3858
71,5.3361
72,5.3376
73,5.3104
74,5.2879
75,5.2339
76,5.2567
77,5.2421
78,5.2096
79,5.1764
80,5.1847
81,5.1398
82,5.1539
83,5.1246
84,5.1175
85,5.0886
86,5.0718
87,5.0207
88,5.0059
89,4.9504
90,4.9314
91,4.8853
92,4.8319
93,4.7692
94,4.7063
95,4.6770
96,4.6345
97,4.6202
98,4.5619
99,4.5558
100,4.5391
101,4.5150
102,4.5111
103,4.5548
104,4.5948
105,4.5186
106,4.4672
107,4.4056
108,4.3794
109,4.3227
110,4.2947
111,4.2721
112,4.2560
113,4.2021
114,4.1684
115,4.1204
116,4.1047
117,4.1208
118,4.0890
119,4.0643
120,4.0228
121,3.9868
122,3.9760
123,3.9680
124,3.9415
125,3.9450
126,3.9158
127,3.8706
128,3.8449
129,3.7902
130,3.7940
131,3.7627
132,3.7309
133,3.7367
134,3.7191
135,3.7064
136,3.6469
137,3.6557
138,3.6181
139,3.5982
140,3.5787
141,3.5564
142,3.5533
143,3.4523
144,3.3968
145,3.3768
146,3.3966
147,3.4070
148,3.4112
149,3.4073
150,3.3913
151,3.3533
152,3.3452
153,3.3359
154,3.3238
155,3.2824
156,3.2763
157,3.2577
158,3.2570
159,3.2331
160,3.1926
161,3.1898
162,3.2108
163,3.1666
164,3.1737
165,3.1401
166,3.1287
167,3.1063
168,3.0892
169,3.0680
170,3.0630
171,3.0636
172,3.0413
173,3.0101
174,3.0291
175,2.9980
176,2.9733
177,2.9501
178,2.9402
179,2.9297
180,2.9381
181,2.9170
182,2.8977
183,2.8869
184,2.8930
185,2.8950
186,2.8767
187,2.8869
188,2.8401
189,2.8165
190,2.8283
191,2.8174
192,2.7905
193,2.7888
194,2.7933
195,2.7421
196,2.7359
197,2.7135
198,2.6859
199,2.6972
200,2.7729
201,2.8249
202,2.8037
203,2.7311
204,2.6997
205,2.6685
206,2.6469
207,2.6499
208,2.6438
209,2.6087
210,2.6004
211,2.5401
212,2.5464
213,2.5741
214,2.5607
215,2.5684
216,2.5507
217,2.5254
218,2.5337
219,2.5084
220,2.5135
221,2.5122
222,2.4919
223,2.4888
224,2.4817
225,2.4744
226,2.4646
227,2.4517
228,2.4342
229,2.4272
230,2.4118
231,2.3838
232,2.3703
233,2.3868
234,2.4034
235,2.3894
236,2.3972
237,2.3609
238,2.3326
239,2.3371
240,2.3558
241,2.3501
242,2.3524
243,2.3433
244,2.3283
245,2.3246
246,2.3347
247,2.3060
248,2.2756
249,2.2751
250,2.2785
251,2.2491
252,2.2364
253,2.1904
254,2.2208
255,2.2105
256,2.1793
257,2.1651
258,2.1214
259,2.0958
260,2.0486
261,2.0257
262,1.9740
263,1.9446
264,1.9104
265,1.8782
266,1.8615
267,1.8974
268,1.9084
269,1.9248
270,1.9565
271,1.9966
272,2.0278
273,2.0416
274,2.0754
275,2.0475
276,2.0703
277,2.0759
278,2.0873
279,2.0825
280,2.1086
281,2.0860
282,2.0923
283,2.1194
284,2.1190
285,2.1206
286,2.0735
287,2.0349
288,2.0630
289,2.0764
290,2.0716
291,2.0858
292,2.0621
293,2.0418
294,2.0259
295,2.0026
296,2.0137
297,2.0322
298,2.0720
299,2.0548
300,2.0298
301,2.0109
302,2.0062
303,2.0194
304,2.0490
305,2.0257
306,2.0281
307,2.0273
308,2.0335
309,2.0252
310,2.0136
311,2.0267
312,2.0048
313,2.0245
314,2.0064
315,2.0320
316,2.0708
317,2.0383
318,2.0404
319,2.0415
320,2.0274
321,1.9528
322,1.9328
323,1.9786
324,1.9858
325,1.9637
326,1.9464
327,1.9583
328,1.9754
329,1.9488
330,1.9668
331,1.9292
332,1.9096
333,1.8816
334,1.8660
335,1.9209
336,1.9377
337,1.9202
338,1.9280
339,1.9357
340,1.9366
341,1.9241
342,1.9113
343,1.9242
344,1.9332
345,1.9010
346,1.8540
347,1.8761
348,1.8778
349,1.8800
350,1.8180
351,1.7301
352,1.8026
353,1.8423
354,1.8704
355,1.8932
356,1.8875
357,1.8846
358,1.8897
359,1.9002
360,1.8606
361,1.8714
362,1.8803
363,1.8716
364,1.8716
365,1.8635
366,1.8659
367,1.8479
368,1.8464
369,1.7810
370,1.6314
371,1.6538
372,1.7283
373,1.8122
374,1.8329
375,1.8589
376,1.8236
377,1.8368
378,1.8310
379,1.8326
380,1.8131
381,1.8161
382,1.8304
383,1.8212
384,1.8105
385,1.8106
386,1.8111
387,1.8216
388,1.8132
389,1.8236
390,1.8262
391,1.8192
392,1.8131
393,1.8076
394,1.8197
395,1.8134
396,1.7987
397,1.8166
398,1.7948
399,1.8066
400,1.7903
401,1.7895
402,1.7873
403,1.8008
404,1.7867
405,1.7934
406,1.7940
407,1.8121
408,1.7844
409,1.7686
410,1.7929
411,1.7994
412,1.7814
413,1.7705
414,1.7849
415,1.7939
416,1.7639
417,1.7403
418,1.7400
419,1.7346
420,1.6802
421,1.6953
422,1.7608
423,1.7712
424,1.7689
425,1.7789
426,1.7595
427,1.7566
428,1.7418
429,1.7648
430,1.7654
431,1.7431
432,1.7524
433,1.7543
434,1.7460
435,1.7393
436,1.6918
437,1.6302
438,1.6667
439,1.7204
440,1.7222
441,1.7418
442,1.7354
443,1.7406
444,1.7442
445,1.7303
446,1.7337
447,1.7267
448,1.7391
449,1.7291
450,1.7101
451,1.6956
452,1.6978
453,1.7203
454,1.7290
455,1.7098
456,1.7255
457,1.6757
458,1.5258
459,1.5215
460,1.5918
461,1.6691
462,1.6689
463,1.6807
464,1.6988
465,1.7039
466,1.7152
467,1.7092
468,1.7152
469,1.7064
470,1.7081
471,1.7017
472,1.6917
473,1.6804
474,1.6941
475,1.6874
476,1.6986
477,1.6929
478,1.5906
479,1.5357
480,1.5862
481,1.6275
482,1.6592
483,1.6689
484,1.6576
485,1.6627
486,1.6761
487,1.6998
488,1.6857
489,1.7310
490,1.7165
491,1.6866
492,1.5805
493,1.3758
494,1.2360
495,1.3112
496,1.4673
497,1.5547
498,1.5797
499,1.5929
500,1.5915
501,1.6371
502,1.6505
503,1.6584
504,1.6539
505,1.6393
506,1.6756
507,1.7006
508,1.7200
