X,Y
1,10.00558
2,9.45817
3,8.63505
4,7.99296
5,7.18953
6,6.59895
7,6.09013
8,6.61810
9,6.48012
10,5.75051
11,5.13805
12,5.22505
13,5.34040
14,5.23202
15,5.55855
16,5.60637
17,5.32499
18,5.06742
19,4.76908
20,4.47066
21,4.35455
22,4.45659
23,4.63406
24,4.75960
25,4.84822
26,4.75783
27,4.60739
28,4.47570
29,4.39665
30,4.30133
31,4.23434
32,4.15824
33,4.08594
34,4.05779
35,4.07535
36,4.09323
37,4.09240
38,4.09696
39,4.09501
40,4.12052
41,4.20584
42,4.35383
43,4.51131
44,4.61767
45,4.71335
46,4.77221
47,4.78801
48,4.81007
49,4.82953
50,4.82039
51,4.80035
52,4.77079
53,4.76317
54,4.77218
55,4.78158
56,4.77069
57,4.77598
58,4.74884
59,4.68675
60,4.65117
61,4.69122
62,4.70264
63,4.68431
64,4.68022
65,4.67133
66,4.65857
67,4.67138
68,4.65997
69,4.67237
70,4.71370
71,4.73366
72,4.71408
73,4.75381
74,4.77949
75,4.81841
76,4.85001
77,4.85832
78,4.89229
79,4.89684
80,4.92703
81,4.92546
82,4.95175
83,4.97318
84,4.97762
85,4.98598
86,4.97906
87,4.97674
88,5.00759
89,4.98907
90,4.96847
91,4.95004
92,4.93029
93,4.96128
94,4.94164
95,4.90216
96,4.88675
97,4.89170
98,4.88794
99,4.88031
100,4.87722
101,4.86877
102,4.88719
103,4.90304
104,4.90279
105,4.91547
106,4.91301
107,4.90219
108,4.88586
109,4.83367
110,4.82094
111,4.81094
112,4.81055
113,4.80207
114,4.78221
115,4.75417
116,4.76903
117,4.76532
118,4.72438
119,4.70932
120,4.69722
121,4.70508
122,4.67438
123,4.65775
124,4.63307
125,4.61086
126,4.58052
127,4.58054
128,4.57401
129,4.56182
130,4.56888
131,4.54052
132,4.50915
133,4.50307
134,4.48365
135,4.46227
136,4.45238
137,4.44979
138,4.41289
139,4.38009
140,4.37153
141,4.34440
142,4.33338
143,4.31183
144,4.26794
145,4.21847
146,4.23553
147,4.25267
148,4.25958
149,4.22456
150,4.19794
151,4.15635
152,4.16840
153,4.16218
154,4.16469
155,4.15966
156,4.12888
157,4.09918
158,4.07963
159,4.08717
160,4.06637
161,4.06385
162,4.05092
163,4.04204
164,4.03119
165,3.99653
166,3.98035
167,3.97760
168,3.96546
169,3.93806
170,3.92331
171,3.91861
172,3.92886
173,3.88269
174,3.86879
175,3.85978
176,3.82056
177,3.79771
178,3.79258
179,3.78594
180,3.77508
181,3.78426
182,3.74507
183,3.74964
184,3.72981
185,3.70550
186,3.71072
187,3.70911
188,3.70476
189,3.68942
190,3.68634
191,3.64410
192,3.64149
193,3.61868
194,3.60741
195,3.60031
196,3.57624
197,3.58468
198,3.54929
199,3.52283
200,3.54012
201,3.56369
202,3.56257
203,3.52737
204,3.50204
205,3.49840
206,3.47958
207,3.46321
208,3.43989
209,3.41755
210,3.42679
211,3.41152
212,3.38748
213,3.38036
214,3.37795
215,3.38031
216,3.35268
217,3.33289
218,3.33918
219,3.34094
220,3.32886
221,3.31025
222,3.30015
223,3.29349
224,3.27941
225,3.26347
226,3.24871
227,3.25180
228,3.23541
229,3.22505
230,3.19843
231,3.21002
232,3.19166
233,3.18393
234,3.16949
235,3.16277
236,3.16898
237,3.14374
238,3.13730
239,3.13827
240,3.11192
241,3.11828
242,3.11393
243,3.08721
244,3.08840
245,3.09046
246,3.07114
247,3.04298
248,3.02600
249,3.00415
250,2.94606
251,2.95253
252,2.95733
253,2.94882
254,2.96447
255,2.93287
256,2.92740
257,2.90455
258,2.88235
259,2.86253
260,2.80860
261,2.78948
262,2.75544
263,2.71717
264,2.68181
265,2.65190
266,2.63786
267,2.65459
268,2.66598
269,2.67104
270,2.68319
271,2.71088
272,2.71276
273,2.74644
274,2.75511
275,2.75924
276,2.76128
277,2.76505
278,2.77540
279,2.77633
280,2.77662
281,2.78264
282,2.78001
283,2.78940
284,2.79287
285,2.77689
286,2.77322
287,2.74973
288,2.73750
289,2.74327
290,2.75911
291,2.73788
292,2.73277
293,2.70952
294,2.72005
295,2.70999
296,2.72035
297,2.70195
298,2.70001
299,2.70374
300,2.69746
301,2.67727
302,2.67961
303,2.67356
304,2.66110
305,2.66112
306,2.66144
307,2.66490
308,2.64705
309,2.63575
310,2.63226
311,2.62993
312,2.61192
313,2.62615
314,2.62928
315,2.61646
316,2.62793
317,2.61050
318,2.61748
319,2.61301
320,2.60306
321,2.58836
322,2.58772
323,2.58628
324,2.58032
325,2.57360
326,2.55458
327,2.54880
328,2.55184
329,2.53896
330,2.53258
331,2.51546
332,2.52766
333,2.50458
334,2.49651
335,2.51065
336,2.50914
337,2.49737
338,2.50153
339,2.49933
340,2.51100
341,2.50006
342,2.48044
343,2.48233
344,2.47134
345,2.46008
346,2.46929
347,2.45579
348,2.44940
349,2.42316
350,2.38641
351,2.30735
352,2.29488
353,2.33556
354,2.37672
355,2.38284
356,2.40251
357,2.41843
358,2.40485
359,2.40549
360,2.41380
361,2.40428
362,2.40771
363,2.38469
364,2.39912
365,2.39345
366,2.38077
367,2.36534
368,2.38005
369,2.33612
370,2.30159
371,2.29736
372,2.31542
373,2.33350
374,2.34201
375,2.34980
376,2.32718
377,2.32634
378,2.33852
379,2.33157
380,2.31293
381,2.33194
382,2.34224
383,2.32762
384,2.31155
385,2.31723
386,2.30782
387,2.30880
388,2.29774
389,2.30571
390,2.29175
391,2.29589
392,2.28762
393,2.28514
394,2.28994
395,2.27764
396,2.25763
397,2.25672
398,2.26853
399,2.27009
400,2.25897
401,2.25535
402,2.24822
403,2.23868
404,2.23549
405,2.24008
406,2.23141
407,2.23771
408,2.23391
409,2.23158
410,2.22764
411,2.21526
412,2.21597
413,2.20736
414,2.21888
415,2.20391
416,2.19790
417,2.19434
418,2.18927
419,2.17332
420,2.15921
421,2.16954
422,2.15875
423,2.18381
424,2.18127
425,2.16444
426,2.16022
427,2.14607
428,2.14855
429,2.15500
430,2.15852
431,2.15300
432,2.13777
433,2.13583
434,2.12955
435,2.13676
436,2.11599
437,2.11057
438,2.10944
439,2.11786
440,2.11583
441,2.12725
442,2.11489
443,2.10563
444,2.09654
445,2.10001
446,2.10728
447,2.11293
448,2.12287
449,2.07607
450,2.04563
451,2.02761
452,2.04896
453,2.04454
454,2.06217
455,2.06173
456,2.06370
457,2.02636
458,2.00742
459,2.01375
460,2.03461
461,2.04221
462,2.03421
463,2.05269
464,2.04500
465,2.03431
466,2.04030
467,2.04614
468,2.03418
469,2.03608
470,2.03357
471,2.03315
472,2.02498
473,2.02750
474,2.02538
475,2.00519
476,2.00677
477,1.98255
478,1.96993
479,1.94945
480,1.96295
481,1.97508
482,1.97806
483,1.99106
484,1.98900
485,1.99736
486,1.98410
487,1.99775
488,2.00044
489,2.00260
490,1.99224
491,1.97138
492,1.93022
493,1.85481
494,1.82346
495,1.85018
496,1.88099
497,1.90720
498,1.92339
499,1.91585
500,1.93715
501,1.93125
502,1.92298
503,1.93222
504,1.94645
505,1.92630
506,1.93852
507,1.92855
508,1.93389
509,1.92586
510,1.93556
511,1.92216
512,1.90596
513,1.91789
514,1.91432
515,1.91014
516,1.90134
517,1.90225
518,1.91735
519,1.90298
520,1.90557
521,1.89821
522,1.89510
523,1.88722
524,1.88917
525,1.88308
526,1.87938
527,1.89222
528,1.88084
529,1.88952
530,1.88283
531,1.88790
532,1.87397
533,1.87190
534,1.86542
535,1.87241
536,1.87056
537,1.86628
538,1.85651
539,1.85279
540,1.82868
541,1.81034
542,1.82411
543,1.82507
544,1.83819
545,1.84238
546,1.83468
547,1.83653
548,1.82058
549,1.82839
550,1.83021
551,1.83587
552,1.82220
553,1.82224
554,1.82048
555,1.82560
556,1.82313
557,1.81028
558,1.80467
559,1.79417
560,1.78091
561,1.76402
562,1.75482
563,1.76668
564,1.77213
565,1.78004
566,1.77927
567,1.78465
568,1.78113
569,1.77340
570,1.77390
571,1.77930
572,1.79655
573,1.77546
574,1.78091
575,1.77601
576,1.77674
577,1.78154
578,1.76521
579,1.75383
580,1.76858
581,1.76798
582,1.76290
583,1.76134
584,1.76247
585,1.76312
586,1.75171
587,1.76253
588,1.75324
589,1.75875
590,1.75517
591,1.75260
592,1.73874
593,1.75974
594,1.75368
595,1.73989
596,1.73897
597,1.75207
598,1.72708
599,1.73741
600,1.73474
601,1.73417
602,1.72594
603,1.72062
604,1.73609
605,1.72395
606,1.71301
607,1.71409
608,1.71664
609,1.70981
610,1.72350
611,1.70715
612,1.70712
613,1.71392
614,1.69791
615,1.68857
616,1.69953
617,1.70720
618,1.70194
619,1.68615
620,1.66482
621,1.65852
622,1.65451
623,1.67603
624,1.67636
625,1.66779
626,1.66582
627,1.67511
628,1.66764
629,1.68908
630,1.66876
631,1.67809
632,1.66963
633,1.67382
634,1.66796
635,1.67829
636,1.66252
637,1.65997
638,1.65879
639,1.66370
640,1.66209
641,1.66366
642,1.66951
643,1.65782
644,1.66100
645,1.66767
646,1.66179
647,1.64947
648,1.64675
649,1.64185
650,1.64486
651,1.64826
652,1.64344
653,1.63360
654,1.62979
655,1.64248
656,1.63622
657,1.63376
658,1.62550
659,1.62326
660,1.63429
661,1.63578
662,1.63133
663,1.63415
664,1.61676
665,1.61727
666,1.61717
667,1.61303
668,1.61770
669,1.61936
670,1.62116
671,1.61876
672,1.61080
673,1.62755
674,1.61992
675,1.60993
676,1.61062
677,1.60565
678,1.60481
679,1.60513
680,1.60531
681,1.60084
682,1.59715
683,1.59935
684,1.59016
685,1.59737
686,1.59550
687,1.58625
688,1.59876
689,1.60418
690,1.57528
691,1.57906
692,1.58817
693,1.59007
694,1.58390
695,1.58280
696,1.57804
697,1.58980
698,1.57082
699,1.57008
700,1.56460
701,1.57002
702,1.58308
703,1.56023
704,1.55415
705,1.55697
706,1.56524
707,1.56863
708,1.57099
709,1.56740
710,1.55752
711,1.55986
712,1.56113
713,1.56565
714,1.56117
715,1.57333
716,1.57886
717,1.57365
718,1.56866
719,1.57067
720,1.55198
721,1.55579
722,1.54910
723,1.54621
724,1.53746
725,1.55510
726,1.54053
727,1.53614
