X,Y
1,1.091747
2,1.094687
3,1.094259
4,1.101315
5,1.098850
6,1.102743
7,1.102754
8,1.099892
9,1.100001
10,1.111811
11,1.109719
12,1.102852
13,1.106039
14,1.102360
15,1.100934
16,1.102257
17,1.107346
18,1.116744
19,1.120939
20,1.126200
21,1.125699
22,1.116892
23,1.115965
24,1.111901
25,1.110605
26,1.114154
27,1.117530
28,1.123858
29,1.121036
30,1.125398
31,1.124608
32,1.130885
33,1.134383
34,1.133856
35,1.135186
36,1.137013
37,1.129073
38,1.136247
39,1.132835
40,1.132424
41,1.130709
42,1.123333
43,1.119156
44,1.121619
45,1.119207
46,1.118918
47,1.119795
48,1.117548
49,1.118160
50,1.120834
51,1.124880
52,1.120865
53,1.124161
54,1.121403
55,1.126878
56,1.128646
57,1.130719
58,1.140460
59,1.136667
60,1.150307
61,1.131296
62,1.138790
63,1.136591
64,1.139504
65,1.145515
66,1.143600
67,1.146115
68,1.146719
69,1.150722
70,1.147389
71,1.148863
72,1.148087
73,1.151214
74,1.142077
75,1.149266
76,1.141629
77,1.142468
78,1.141277
79,1.142354
80,1.138569
81,1.137899
82,1.140094
83,1.140706
84,1.134865
85,1.143531
86,1.141449
87,1.142810
88,1.146836
89,1.141212
90,1.143555
91,1.146433
92,1.144556
93,1.145308
94,1.145390
95,1.148594
96,1.157920
97,1.145311
98,1.145779
99,1.150860
100,1.145624
101,1.149718
102,1.143421
103,1.152189
104,1.145348
105,1.147715
106,1.152326
107,1.150912
108,1.144748
109,1.147797
110,1.150441
111,1.143285
112,1.150002
113,1.144928
114,1.143816
115,1.150230
116,1.145267
117,1.155485
118,1.152322
119,1.148466
120,1.155683
121,1.150043
122,1.146816
123,1.157667
124,1.149844
125,1.151270
126,1.151568
127,1.150618
128,1.157070
129,1.151824
130,1.151845
131,1.146785
132,1.154876
133,1.159831
134,1.157833
135,1.166682
136,1.160082
137,1.157676
138,1.162377
139,1.155435
140,1.158929
141,1.159778
142,1.161867
143,1.167422
144,1.175262
145,1.164729
146,1.173530
147,1.168660
148,1.159517
149,1.163177
150,1.170461
151,1.172018
152,1.159758
153,1.169545
154,1.171056
155,1.166720
156,1.164597
157,1.167472
158,1.178346
159,1.168667
160,1.164054
161,1.167336
162,1.164859
163,1.173169
164,1.181796
165,1.180727
166,1.173586
167,1.181011
168,1.168354
169,1.168794
170,1.161676
171,1.169751
172,1.179249
173,1.174422
174,1.180900
175,1.174005
176,1.176756
177,1.166953
178,1.163930
179,1.176574
180,1.167079
181,1.174073
182,1.174620
183,1.180203
184,1.167118
185,1.178211
186,1.182400
187,1.189268
188,1.170676
189,1.175558
190,1.175558
191,1.190774
192,1.178905
193,1.182146
194,1.177651
195,1.182355
196,1.176758
197,1.178229
198,1.166672
199,1.163494
200,1.182858
201,1.175511
202,1.174931
203,1.183589
204,1.179252
205,1.184299
206,1.178183
207,1.184563
208,1.181878
209,1.184603
210,1.175977
211,1.176154
212,1.173873
213,1.183058
214,1.197846
215,1.188220
216,1.180902
217,1.198077
218,1.191653
219,1.190868
220,1.185312
221,1.191236
222,1.184531
223,1.176389
224,1.172332
225,1.183499
226,1.179604
227,1.181703
228,1.190271
229,1.182748
230,1.178096
231,1.184372
232,1.174718
233,1.180014
234,1.186096
235,1.190792
236,1.184250
237,1.188713
238,1.169257
239,1.171178
240,1.173051
241,1.182692
242,1.192334
243,1.185393
244,1.181292
245,1.186238
246,1.196252
247,1.183117
248,1.184583
249,1.198208
250,1.183052
251,1.200130
252,1.196501
253,1.192292
254,1.202477
255,1.200264
256,1.196035
257,1.206870
258,1.208889
259,1.204275
260,1.211208
261,1.216057
262,1.195911
263,1.205712
264,1.208322
265,1.212247
266,1.232826
267,1.220920
268,1.205474
269,1.209922
270,1.225767
271,1.217446
272,1.213684
273,1.208201
274,1.209589
275,1.189767
276,1.189728
277,1.189761
278,1.197000
279,1.193358
280,1.192848
281,1.193094
282,1.210909
283,1.203933
284,1.202496
285,1.196298
286,1.194944
287,1.193329
288,1.192033
289,1.201005
290,1.211747
291,1.210975
292,1.193323
293,1.201647
294,1.179232
295,1.164286
296,1.180335
297,1.196157
