X,Y
1,1.028670
2,1.032385
3,1.028836
4,1.033286
5,1.030225
6,1.037621
7,1.021430
8,1.029559
9,1.034751
10,1.037234
11,1.025023
12,1.031069
13,1.029027
14,1.027048
15,1.034386
16,1.038985
17,1.037691
18,1.036330
19,1.032884
20,1.033018
21,1.025453
22,1.029453
23,1.032860
24,1.034142
25,1.030301
26,1.032129
27,1.032096
28,1.032100
29,1.033211
30,1.030646
31,1.031896
32,1.029687
33,1.033378
34,1.029076
35,1.029135
36,1.028126
37,1.025635
38,1.025083
39,1.022674
40,1.025456
41,1.024906
42,1.024478
43,1.022379
44,1.021649
45,1.023295
46,1.019025
47,1.020445
48,1.024173
49,1.023453
50,1.032805
51,1.027880
52,1.023592
53,1.018908
54,1.022404
55,1.022759
56,1.025140
57,1.018709
58,1.016823
59,1.015186
60,1.021596
61,1.013488
62,1.017993
63,1.019399
64,1.011536
65,1.018669
66,1.011600
67,1.004742
68,1.013079
69,1.010287
70,1.004339
71,1.014977
72,1.010496
73,1.011919
74,1.013576
75,1.010169
76,1.010948
77,1.005791
78,1.013189
79,1.012630
80,1.008596
81,1.007882
82,1.009928
83,1.010139
84,1.007769
85,1.010360
86,1.007223
87,1.011101
88,1.004175
89,1.005174
90,1.008486
91,1.003902
92,1.010349
93,1.013947
94,1.006523
95,1.003832
96,1.002834
97,1.004830
98,1.006776
99,1.001125
100,1.006660
101,1.005455
102,1.008403
103,0.995789
104,1.006693
105,1.004713
106,1.004081
107,1.006142
108,1.005115
109,1.005837
110,1.006699
111,1.006119
112,1.007408
113,1.004686
114,1.002870
115,1.001930
116,1.004435
117,0.999975
118,0.996049
119,0.998971
120,0.998953
121,0.999046
122,0.994876
123,1.002944
124,0.994007
125,0.994816
126,0.999350
127,1.004040
128,1.004740
129,1.004128
130,1.002680
131,0.997762
132,0.999846
133,0.993730
134,0.992235
135,0.997284
136,1.003228
137,1.005511
138,0.998720
139,0.995723
140,1.000781
141,0.986929
142,0.982803
143,0.985675
144,0.984536
145,0.990479
146,0.990850
147,0.987214
148,0.993196
149,0.988570
150,0.979028
151,0.989486
152,0.991018
153,0.991732
154,0.984700
155,0.994987
156,0.985953
157,0.987088
158,0.988711
159,0.987193
160,0.994090
161,0.989239
162,0.991526
163,0.987469
164,0.985674
165,0.981981
166,0.985806
167,0.989126
168,0.997167
169,0.989152
170,0.982484
171,0.985114
172,0.984850
173,0.997773
174,0.991337
175,0.992077
176,0.984604
177,0.982966
178,0.983039
179,0.989921
180,0.985273
181,0.980720
182,0.987986
183,0.987490
184,0.983151
185,0.979959
186,0.982947
187,0.979744
188,0.968750
189,0.973277
190,0.980649
191,0.981466
192,0.981510
193,0.994544
194,0.982044
195,0.986314
196,0.981905
197,0.973231
198,0.976339
199,0.984652
200,0.979291
201,0.986978
202,0.985067
203,0.980246
204,0.981125
205,0.982917
206,0.987564
207,0.977512
208,0.972027
209,0.981322
210,0.977388
211,0.980377
212,0.974543
213,0.977653
214,0.978068
215,0.978118
216,0.976581
217,0.969176
218,0.987746
219,0.971878
220,0.979597
221,0.973053
222,0.976010
223,0.988315
224,0.979906
225,0.979046
226,0.966386
227,0.977172
228,0.976411
229,0.971542
230,0.975497
231,0.969778
232,0.974008
233,0.976326
234,0.974757
235,0.972012
236,0.977264
237,0.967013
238,0.974458
239,0.974459
240,0.973963
241,0.971332
242,0.972046
243,0.966747
244,0.968887
245,0.977562
