X,Y
1,0.501068
2,0.493580
3,0.483379
4,0.484004
5,0.493142
6,0.502141
7,0.473518
8,0.479598
9,0.490440
10,0.479523
11,0.481990
12,0.497700
13,0.478955
14,0.474397
15,0.480143
16,0.481972
17,0.480786
18,0.487229
19,0.501840
20,0.485260
21,0.490207
22,0.491065
23,0.473630
24,0.489595
25,0.482288
26,0.485570
27,0.483780
28,0.498654
29,0.483048
30,0.484361
31,0.490307
32,0.496735
33,0.495050
34,0.481961
35,0.490393
36,0.498410
37,0.492664
38,0.477360
39,0.496386
40,0.490252
41,0.492618
42,0.496952
43,0.494852
44,0.491474
45,0.499057
46,0.505750
47,0.493525
48,0.492447
49,0.492180
50,0.490185
51,0.501370
52,0.499320
53,0.487240
54,0.484188
55,0.490387
56,0.493316
57,0.494480
58,0.498549
59,0.506465
60,0.492455
61,0.502898
62,0.496478
63,0.495553
64,0.491238
65,0.504521
66,0.498808
67,0.493341
68,0.499604
69,0.507614
70,0.500942
71,0.494052
72,0.501817
73,0.507563
74,0.504691
75,0.500445
76,0.503437
77,0.508587
78,0.506083
79,0.516320
80,0.508185
81,0.522702
82,0.520601
83,0.497255
84,0.528494
85,0.509944
86,0.529260
87,0.551274
88,0.547345
89,0.569865
90,0.599419
91,0.627084
92,0.692747
93,0.773324
94,0.887621
95,0.969760
96,1.082719
97,1.092072
98,1.126627
99,1.133531
100,1.120925
101,1.143974
102,1.163041
103,1.164026
104,1.164377
105,1.182647
106,1.164986
107,1.184976
108,1.169846
109,1.174225
110,1.197552
111,1.196880
112,1.218650
113,1.202151
114,1.244049
115,1.243472
116,1.273777
117,1.265844
118,1.258934
119,1.224065
120,1.149681
121,1.088770
122,1.067147
123,1.035900
124,1.026623
125,1.017127
126,1.011236
127,1.007947
128,1.003705
129,1.002273
130,1.000460
131,0.997217
132,0.999589
133,1.000650
134,0.999808
135,0.995438
136,0.996759
137,0.995642
138,0.995756
139,0.991974
140,0.994668
141,0.993731
142,0.992901
143,0.997171
144,0.991435
145,0.995175
146,0.992823
147,0.991162
148,0.992990
149,0.993996
150,0.994041
151,0.992585
152,0.993822
153,0.993528
154,0.992098
155,0.993421
156,0.993579
157,0.993222
158,0.993444
159,0.993808
160,0.994512
161,0.992068
162,0.994411
163,0.991180
164,0.995123
165,0.994201
166,0.993428
167,0.993437
168,0.992898
169,0.991147
170,0.994176
171,0.993090
172,0.994839
173,0.995853
174,0.991836
175,0.993834
176,0.993777
177,0.993526
178,0.994977
179,0.994879
180,0.994383
181,0.992802
182,0.995306
183,0.995740
184,0.993492
185,0.994067
186,0.995538
187,0.991762
188,0.994301
189,0.993321
190,0.993111
191,0.992535
192,0.993994
193,0.994083
194,0.996194
195,0.994998
196,0.995167
197,0.993361
198,0.992818
199,0.995928
200,0.992817
201,0.992693
202,0.993683
203,0.993208
204,0.996042
205,0.994930
206,0.992977
207,0.993511
208,0.994193
209,0.993380
210,0.995560
211,0.995265
212,0.994998
213,0.994551
214,0.995415
215,0.994979
216,0.994052
217,0.994784
218,0.993896
219,0.992554
220,0.991930
221,0.993930
222,0.993427
223,0.991745
224,0.994605
225,0.993568
226,0.993328
227,0.994054
228,0.993451
229,0.995299
230,0.991829
231,0.995094
232,0.992926
233,0.991323
234,0.995016
235,0.991874
236,0.993667
237,0.992617
238,0.997657
239,0.996369
240,0.990826
241,0.993729
242,0.993399
243,0.995051
244,0.992110
245,0.994340
246,0.994631
247,0.994208
248,0.994202
249,0.992288
250,0.992411
251,0.996024
252,0.992201
253,0.993509
254,0.994438
255,0.996852
256,0.992599
257,0.993953
258,0.995642
259,0.995966
260,0.994595
261,0.992437
262,0.993689
263,0.993511
264,0.993016
265,0.995394
266,0.995416
267,0.995168
268,0.993968
269,0.994003
270,0.995757
271,0.991067
272,0.994627
273,0.994727
274,0.993731
275,0.993503
276,0.995182
277,0.995003
278,0.995248
279,0.993418
280,0.993637
281,0.993841
282,0.995183
283,0.995209
284,0.993520
285,0.995803
286,0.996416
287,0.996583
288,0.996520
289,0.994107
290,0.996019
291,0.993623
292,0.990940
293,0.996240
294,0.996080
295,0.994048
296,0.993917
297,0.994208
298,0.995495
299,0.993818
300,0.995567
301,0.995480
302,0.995882
303,0.996879
304,0.994899
305,0.998191
306,0.995008
307,0.995317
308,0.992419
309,0.996289
310,0.996568
311,0.996570
312,0.994498
313,0.995039
314,0.996052
315,0.997394
316,0.994348
317,0.995674
318,0.995943
319,0.993450
320,0.996223
321,0.996315
322,0.995527
323,0.994390
324,0.995082
325,0.994332
326,0.995371
327,0.996213
328,0.994714
329,0.993406
330,0.997046
331,0.996961
332,0.997556
333,0.995031
334,0.995595
335,0.996277
336,0.996243
337,0.992345
338,0.995909
339,0.996234
340,0.996179
341,0.996167
