X,Y
1,0.224476
2,0.196000
3,0.215843
4,0.209276
5,0.200770
6,0.213738
7,0.192897
8,0.208849
9,0.218199
10,0.227324
11,0.206542
12,0.221146
13,0.199012
14,0.229248
15,0.212017
16,0.202163
17,0.209015
18,0.201854
19,0.200793
20,0.196666
21,0.202715
22,0.190063
23,0.214730
24,0.197649
25,0.204453
26,0.226235
27,0.220875
28,0.219291
29,0.199016
30,0.215832
31,0.209905
32,0.195511
33,0.201511
34,0.223022
35,0.195618
36,0.186276
37,0.197629
38,0.207624
39,0.208728
40,0.216381
41,0.213525
42,0.202181
43,0.222408
44,0.202676
45,0.213879
46,0.211571
47,0.208722
48,0.223152
49,0.208777
50,0.209438
51,0.221225
52,0.208239
53,0.199151
54,0.225515
55,0.204261
56,0.240583
57,0.205908
58,0.211964
59,0.205425
60,0.212096
61,0.205404
62,0.217341
63,0.214334
64,0.214423
65,0.217125
66,0.228602
67,0.208515
68,0.213693
69,0.227710
70,0.226256
71,0.209030
72,0.197085
73,0.221806
74,0.216866
75,0.213239
76,0.226894
77,0.220343
78,0.229467
79,0.247795
80,0.213221
81,0.210955
82,0.240091
83,0.231682
84,0.236077
85,0.247057
86,0.224043
87,0.236376
88,0.242714
89,0.252915
90,0.271634
91,0.256697
92,0.275041
93,0.297165
94,0.316861
95,0.338537
96,0.385579
97,0.398728
98,0.393936
99,0.448641
100,0.448256
101,0.497760
102,0.501943
103,0.502607
104,0.541353
105,0.543573
106,0.560526
107,0.557260
108,0.581955
109,0.616319
110,0.660518
111,0.706417
112,0.768800
113,0.846598
114,0.904406
115,0.985828
116,0.963615
117,0.886141
118,0.817895
119,0.757748
120,0.732792
121,0.716953
122,0.704769
123,0.692923
124,0.691792
125,0.693086
126,0.687830
127,0.684742
128,0.689562
129,0.681113
130,0.679100
131,0.679105
132,0.676935
133,0.675323
134,0.676883
135,0.678152
136,0.675959
137,0.676985
138,0.675943
139,0.679467
140,0.675389
141,0.674730
142,0.675649
143,0.675569
144,0.676939
145,0.679956
146,0.675523
147,0.677139
148,0.674705
149,0.678672
150,0.679326
151,0.678620
152,0.677599
153,0.676349
154,0.676642
155,0.678060
156,0.677656
157,0.676589
158,0.677238
159,0.676794
160,0.676080
161,0.677332
162,0.676343
163,0.673830
164,0.675754
165,0.678343
166,0.677070
167,0.677553
168,0.675775
169,0.676756
170,0.678780
171,0.676468
172,0.677470
173,0.677956
174,0.678471
175,0.679412
176,0.677220
177,0.672520
178,0.674813
179,0.675970
180,0.678466
181,0.674905
182,0.675137
183,0.674118
184,0.675452
185,0.676670
186,0.672811
187,0.674931
188,0.670202
189,0.674248
190,0.678575
191,0.675999
192,0.676786
193,0.678536
194,0.677342
195,0.676687
196,0.677964
197,0.674761
198,0.673875
199,0.672461
200,0.674000
201,0.673837
202,0.677626
203,0.675354
204,0.676783
205,0.674775
206,0.670749
207,0.678239
208,0.676007
209,0.673799
210,0.671887
211,0.674600
212,0.677023
213,0.669067
214,0.673000
215,0.671962
216,0.673855
217,0.671292
218,0.672937
219,0.675553
220,0.671653
221,0.675353
222,0.679835
223,0.675536
224,0.669846
225,0.675313
226,0.672712
227,0.673975
228,0.673456
229,0.672383
230,0.679268
231,0.674966
232,0.673417
233,0.672590
234,0.672748
235,0.671577
236,0.672200
237,0.671027
238,0.672748
239,0.675919
240,0.670153
241,0.672585
242,0.668803
243,0.674722
244,0.672943
245,0.673055
246,0.670309
247,0.671372
248,0.670577
249,0.672553
250,0.674295
251,0.673553
252,0.672090
253,0.667163
254,0.670082
255,0.672670
256,0.675348
257,0.670789
258,0.670583
259,0.672495
260,0.672455
261,0.670369
262,0.670762
263,0.668464
264,0.665672
265,0.671220
266,0.670782
267,0.672855
268,0.669685
269,0.674084
270,0.669167
271,0.672819
272,0.670904
273,0.675516
274,0.671599
275,0.671182
276,0.670824
277,0.673099
278,0.668371
279,0.670931
280,0.667866
281,0.669330
282,0.668718
283,0.672353
284,0.667815
285,0.673195
286,0.669740
287,0.667751
288,0.669437
289,0.669653
290,0.667702
291,0.667708
292,0.668302
293,0.668873
294,0.670450
295,0.669143
296,0.669537
297,0.662058
298,0.671677
299,0.671502
300,0.668674
301,0.666249
302,0.671600
303,0.669272
304,0.665422
305,0.669666
306,0.669137
307,0.667307
308,0.667339
309,0.668258
310,0.672312
311,0.667268
312,0.669575
313,0.670902
314,0.669521
315,0.669481
316,0.667488
317,0.667618
318,0.665338
319,0.666212
320,0.663656
321,0.669336
322,0.667676
323,0.667692
324,0.665434
325,0.666713
326,0.663891
327,0.669429
328,0.666669
329,0.667072
330,0.668873
331,0.665182
332,0.667030
333,0.665773
334,0.666717
335,0.667148
336,0.667474
337,0.665963
338,0.668602
339,0.668121
340,0.672969
341,0.668110
342,0.664207
343,0.667592
344,0.667706
345,0.664787
346,0.666157
347,0.667244
348,0.664275
349,0.668969
350,0.668009
351,0.664976
352,0.666354
353,0.668030
354,0.663461
355,0.667573
356,0.666163
357,0.670508
358,0.663041
359,0.664533
360,0.669383
361,0.663671
362,0.664582
363,0.666058
364,0.663519
365,0.667566
366,0.666253
367,0.666414
368,0.665299
369,0.665822
370,0.665695
371,0.667332
372,0.667830
373,0.662184
374,0.665076
375,0.665606
376,0.666389
377,0.664865
378,0.666345
379,0.665687
380,0.660363
381,0.665791
382,0.666079
383,0.666255
384,0.666544
385,0.670069
386,0.665509
387,0.665205
388,0.668975
389,0.666493
390,0.661813
391,0.662594
392,0.664271
393,0.668914
394,0.658976
395,0.664666
396,0.665046
397,0.664274
398,0.663963
399,0.659716
400,0.665284
401,0.664861
402,0.665054
403,0.665031
404,0.667203
405,0.665188
406,0.665960
407,0.666068
408,0.662118
409,0.662504
410,0.667769
411,0.661658
412,0.664537
413,0.663372
414,0.667923
415,0.664801
416,0.665419
417,0.660719
418,0.663491
419,0.664389
420,0.658065
421,0.661759
422,0.661963
423,0.665044
424,0.664118
425,0.660734
426,0.663116
427,0.665931
428,0.665591
429,0.662503
430,0.668042
431,0.664543
432,0.664691
433,0.664909
434,0.662720
435,0.663659
436,0.663061
437,0.661268
438,0.664324
439,0.665645
440,0.664260
441,0.662083
442,0.661684
443,0.661075
444,0.661057
445,0.665082
446,0.664891
447,0.661170
448,0.666243
449,0.665384
450,0.666562
451,0.661749
452,0.666178
453,0.662660
454,0.664366
455,0.663501
456,0.666743
457,0.663437
458,0.663958
459,0.661762
460,0.665274
461,0.660376
462,0.658856
463,0.657952
464,0.662405
465,0.658339
466,0.663393
467,0.665182
468,0.662561
469,0.661174
470,0.662498
471,0.659565
472,0.660814
473,0.660925
474,0.662844
475,0.661084
476,0.662711
477,0.661964
478,0.659041
479,0.661773
480,0.658760
481,0.663383
482,0.661430
483,0.664305
484,0.658649
485,0.664802
486,0.665596
487,0.658771
488,0.664543
489,0.660797
490,0.659174
491,0.660289
492,0.659698
493,0.662127
494,0.662933
495,0.661714
496,0.665357
497,0.660841
498,0.660370
499,0.661317
500,0.661555
501,0.660339
502,0.664683
503,0.660050
504,0.661839
505,0.664176
506,0.662451
507,0.663588
508,0.664418
509,0.655565
510,0.660430
511,0.656011
512,0.661744
513,0.661357
514,0.665324
515,0.660866
516,0.660607
517,0.661766
518,0.658751
519,0.664008
520,0.661195
521,0.658027
522,0.657591
523,0.663052
524,0.657588
525,0.660025
526,0.661277
527,0.662052
528,0.662241
529,0.659417
530,0.659435
531,0.661445
532,0.657383
533,0.656341
534,0.658758
535,0.660205
536,0.657283
537,0.658657
538,0.664118
539,0.657948
540,0.659454
541,0.663741
542,0.659976
543,0.660190
544,0.662838
545,0.659204
546,0.659187
547,0.658564
548,0.661026
549,0.657332
550,0.658118
551,0.662256
552,0.662141
553,0.656571
554,0.663741
555,0.665884
556,0.656920
557,0.658779
558,0.662280
559,0.661262
560,0.660345
561,0.658551
562,0.658290
563,0.658223
564,0.656200
565,0.658894
566,0.659783
567,0.656022
568,0.662210
569,0.663600
570,0.657028
571,0.659543
572,0.659114
573,0.661473
574,0.662603
575,0.657644
576,0.660843
577,0.659581
578,0.659968
579,0.658037
580,0.663519
581,0.662505
582,0.661091
583,0.662740
584,0.656091
585,0.656882
586,0.657821
587,0.642979
588,0.645388
589,0.643614
590,0.647099
591,0.646029
592,0.645517
593,0.644248
594,0.644203
595,0.642452
596,0.643672
597,0.644270
598,0.641495
599,0.644928
600,0.643290
601,0.644267
602,0.644134
603,0.642144
604,0.649596
605,0.648015
606,0.645290
607,0.648292
608,0.641696
609,0.648843
610,0.643310
611,0.646153
612,0.643932
613,0.643659
614,0.643294
615,0.643076
616,0.642875
617,0.640445
618,0.643388
619,0.642583
620,0.642282
621,0.641637
622,0.648426
623,0.640632
624,0.644683
625,0.645557
626,0.638973
627,0.647280
628,0.640805
629,0.641969
630,0.640939
631,0.641393
632,0.642799
633,0.645983
634,0.638814
635,0.644652
636,0.641304
637,0.645031
638,0.642353
639,0.644142
640,0.649361
641,0.642608
642,0.640662
643,0.639073
644,0.645718
645,0.644737
646,0.645238
647,0.644438
648,0.643963
649,0.644546
650,0.643955
651,0.655771
652,0.648672
653,0.648385
654,0.641598
655,0.645271
656,0.645081
657,0.645934
658,0.642307
659,0.642796
660,0.645294
661,0.648357
662,0.644475
663,0.643079
664,0.650035
665,0.647646
666,0.647703
667,0.644990
668,0.647754
669,0.644152
670,0.641811
671,0.644872
672,0.641516
673,0.651207
674,0.648717
675,0.648513
676,0.648755
677,0.645767
678,0.641933
679,0.644937
680,0.646442
681,0.645536
682,0.644002
683,0.644205
684,0.644346
685,0.646073
686,0.641789
687,0.645328
688,0.642054
689,0.649316
690,0.645558
691,0.644548
692,0.653992
693,0.647810
694,0.647024
695,0.651186
696,0.643187
697,0.645937
698,0.649022
699,0.649251
700,0.646598
701,0.652338
702,0.649299
703,0.647664
704,0.646394
705,0.651379
706,0.651729
707,0.645721
708,0.653382
709,0.648828
710,0.647986
711,0.651250
712,0.649469
713,0.656193
714,0.650472
715,0.645948
716,0.651684
717,0.648212
718,0.649006
719,0.652441
720,0.654819
721,0.651046
722,0.653429
723,0.648134
724,0.647875
725,0.650418
726,0.651782
727,0.654618
728,0.656097
729,0.663937
730,0.662453
731,0.669452
732,0.669221
733,0.672859
734,0.672085
735,0.670614
736,0.670482
737,0.669861
738,0.667403
739,0.670592
740,0.670917
741,0.669267
742,0.665710
743,0.668988
744,0.665627
745,0.665680
746,0.662209
747,0.662486
748,0.663107
749,0.662475
750,0.661526
751,0.661970
752,0.663505
753,0.655042
754,0.657102
755,0.656636
756,0.657867
757,0.654525
758,0.658644
759,0.658737
760,0.653153
761,0.652032
762,0.650839
763,0.654724
764,0.653180
765,0.653932
766,0.655868
767,0.651817
768,0.651572
769,0.649720
770,0.650622
771,0.655232
772,0.652889
773,0.649348
774,0.647425
775,0.649806
776,0.643983
777,0.647787
778,0.649095
779,0.645478
780,0.645586
781,0.646210
782,0.651596
783,0.648128
784,0.646491
785,0.644415
786,0.644588
787,0.645609
788,0.644227
789,0.644356
790,0.644937
791,0.646621
792,0.644472
793,0.644099
794,0.648319
795,0.638572
796,0.647845
797,0.644686
798,0.644216
799,0.636459
800,0.645599
801,0.642506
802,0.642918
803,0.638639
804,0.635446
805,0.639406
806,0.647043
807,0.649302
808,0.641078
809,0.643832
810,0.643332
811,0.645577
812,0.637406
813,0.638322
814,0.637991
815,0.639608
816,0.639186
817,0.641317
818,0.647596
819,0.646199
820,0.637148
821,0.640441
822,0.641350
823,0.642074
824,0.643190
825,0.636498
826,0.642175
827,0.637076
828,0.639677
829,0.636365
830,0.637224
831,0.639408
832,0.638179
833,0.637843
834,0.640094
835,0.635510
836,0.636316
837,0.641128
838,0.635645
839,0.641445
840,0.639933
841,0.635721
842,0.636337
843,0.640194
844,0.638995
845,0.638030
846,0.641729
847,0.635521
848,0.636814
849,0.618573
850,0.621206
851,0.622421
852,0.618638
853,0.617601
854,0.624306
855,0.615489
856,0.619330
857,0.619728
858,0.621796
859,0.616077
860,0.614590
861,0.621538
862,0.619897
863,0.622834
864,0.621003
865,0.619132
866,0.621502
867,0.623165
868,0.623892
869,0.619057
870,0.620727
871,0.619532
872,0.617359
873,0.619252
874,0.614276
875,0.624790
876,0.622161
877,0.619759
878,0.618770
879,0.620677
880,0.622478
881,0.621352
882,0.620213
883,0.620855
884,0.619329
885,0.621924
886,0.616317
887,0.617659
888,0.620657
889,0.618461
890,0.618986
891,0.621740
892,0.617766
893,0.623248
894,0.618587
895,0.615149
896,0.618139
897,0.617250
898,0.620642
899,0.617695
900,0.617699
901,0.616554
902,0.614923
903,0.617655
904,0.617288
905,0.621316
906,0.621748
907,0.621859
908,0.615743
909,0.619397
910,0.618851
911,0.612890
912,0.618754
913,0.618829
914,0.614500
915,0.618870
916,0.618739
917,0.616697
918,0.618421
919,0.612000
920,0.619839
921,0.622131
922,0.618486
923,0.618937
924,0.621387
925,0.615044
926,0.612998
927,0.619807
928,0.620152
929,0.616104
930,0.614021
931,0.625033
932,0.620112
933,0.617599
934,0.614731
935,0.619761
936,0.612351
937,0.621128
938,0.615340
939,0.618358
940,0.616301
941,0.616136
942,0.617603
943,0.614457
944,0.618191
945,0.618134
946,0.619522
947,0.617044
948,0.611296
949,0.615727
950,0.615769
951,0.614478
952,0.618106
953,0.614689
954,0.618428
955,0.617793
956,0.617711
957,0.617714
958,0.617742
959,0.618473
960,0.619995
961,0.616039
962,0.619247
963,0.621183
964,0.616565
965,0.610057
966,0.618156
967,0.619088
968,0.619297
969,0.618629
970,0.621485
971,0.617429
972,0.619906
973,0.616982
974,0.618432
975,0.615195
976,0.616431
977,0.610767
978,0.617440
979,0.618380
980,0.612523
981,0.620872
982,0.612554
983,0.617315
984,0.613380
985,0.621357
986,0.613813
987,0.616724
988,0.614318
989,0.617876
990,0.617985
991,0.614752
992,0.616720
993,0.616192
994,0.616272
995,0.623020
996,0.618574
997,0.623115
998,0.616160
999,0.616328
1000,0.617262
1001,0.613626
1002,0.618665
1003,0.613948
1004,0.618813
1005,0.618322
1006,0.616669
1007,0.619756
1008,0.610508
1009,0.618641
1010,0.615707
1011,0.611794
1012,0.614654
1013,0.613138
1014,0.616406
1015,0.618217
1016,0.619358
1017,0.615213
1018,0.612155
1019,0.619880
1020,0.613862
1021,0.616960
1022,0.614837
1023,0.618385
1024,0.618748
1025,0.617310
1026,0.613766
1027,0.615014
1028,0.618582
1029,0.616907
1030,0.614961
1031,0.618140
1032,0.611364
1033,0.616927
1034,0.619214
1035,0.614416
1036,0.617341
1037,0.614392
1038,0.618160
1039,0.609936
1040,0.617492
1041,0.621281
1042,0.614378
1043,0.613916
1044,0.611702
1045,0.615814
1046,0.613143
1047,0.618117
1048,0.616103
1049,0.615961
1050,0.613925
1051,0.617357
1052,0.615670
1053,0.616717
1054,0.617926
1055,0.620135
1056,0.610473
1057,0.609605
1058,0.616967
1059,0.619679
1060,0.618008
1061,0.612359
1062,0.614621
1063,0.615991
1064,0.614649
1065,0.615970
1066,0.615023
1067,0.617506
1068,0.611516
1069,0.616848
1070,0.620213
1071,0.617652
1072,0.619615
1073,0.616558
1074,0.612057
1075,0.608417
1076,0.619581
1077,0.617825
1078,0.621266
1079,0.622473
1080,0.619815
1081,0.613930
1082,0.613447
1083,0.618401
1084,0.606865
1085,0.610923
1086,0.615874
1087,0.616964
1088,0.615744
1089,0.614222
1090,0.616522
1091,0.615978
1092,0.619297
1093,0.619506
1094,0.616613
1095,0.614946
1096,0.610930
1097,0.612152
1098,0.613361
1099,0.620506
1100,0.614191
1101,0.615947
1102,0.614131
1103,0.614821
1104,0.612820
1105,0.615112
1106,0.616559
1107,0.615880
1108,0.605612
1109,0.615632
1110,0.617760
1111,0.613791
1112,0.618698
1113,0.611022
1114,0.614965
1115,0.613341
1116,0.625693
1117,0.614349
1118,0.613853
1119,0.613402
1120,0.613553
1121,0.615097
1122,0.606653
1123,0.610122
1124,0.617770
1125,0.617164
1126,0.617943
1127,0.611252
1128,0.617265
1129,0.610328
1130,0.613634
1131,0.610784
1132,0.620451
1133,0.613300
1134,0.611719
1135,0.615902
1136,0.619735
1137,0.615686
1138,0.612228
1139,0.616169
1140,0.618474
1141,0.617996
1142,0.609635
1143,0.612276
1144,0.617256
1145,0.611599
1146,0.619601
1147,0.610326
1148,0.608920
1149,0.616912
1150,0.615089
1151,0.613141
1152,0.614645
1153,0.614597
1154,0.619118
1155,0.614298
1156,0.614515
1157,0.613871
1158,0.611778
1159,0.615305
1160,0.620495
1161,0.619744
1162,0.618567
1163,0.608280
1164,0.615563
1165,0.616153
1166,0.612511
1167,0.614639
1168,0.616926
1169,0.618513
1170,0.613529
1171,0.623284
1172,0.615365
1173,0.614735
1174,0.611715
1175,0.623735
1176,0.619365
1177,0.612080
1178,0.612111
1179,0.614220
1180,0.614827
1181,0.618645
1182,0.616947
1183,0.613792
1184,0.618965
1185,0.616004
1186,0.614287
1187,0.617382
1188,0.611321
1189,0.618117
1190,0.616966
1191,0.614833
1192,0.618240
1193,0.608684
1194,0.612815
1195,0.614290
1196,0.615487
1197,0.606833
1198,0.607421
1199,0.616453
1200,0.612335
1201,0.617597
1202,0.618229
1203,0.612630
1204,0.615232
1205,0.621134
1206,0.615922
1207,0.620372
1208,0.618766
1209,0.610855
1210,0.616241
1211,0.617465
1212,0.619321
1213,0.613881
1214,0.609169
1215,0.611348
1216,0.618353
1217,0.616920
1218,0.622312
1219,0.607896
1220,0.618872
1221,0.609091
1222,0.618035
1223,0.615202
1224,0.620929
1225,0.607858
1226,0.609046
1227,0.610512
1228,0.617650
1229,0.610495
1230,0.617891
1231,0.617198
1232,0.614048
1233,0.614077
1234,0.620223
1235,0.619911
1236,0.613172
1237,0.614237
1238,0.610543
1239,0.611914
1240,0.611937
1241,0.614459
1242,0.619319
1243,0.621146
1244,0.612208
1245,0.613354
1246,0.620646
1247,0.615930
1248,0.620124
1249,0.612878
1250,0.609976
1251,0.610454
1252,0.613845
1253,0.611714
1254,0.616949
1255,0.620925
1256,0.612014
1257,0.621894
1258,0.614495
1259,0.616965
1260,0.617822
1261,0.613920
1262,0.618344
1263,0.614252
1264,0.610900
1265,0.616719
1266,0.620312
1267,0.614900
1268,0.619699
1269,0.612266
1270,0.611992
1271,0.622616
1272,0.619771
1273,0.614983
1274,0.618742
1275,0.614496
1276,0.617396
1277,0.622145
1278,0.620529
1279,0.618813
1280,0.612869
1281,0.609077
1282,0.614296
1283,0.612527
1284,0.613919
1285,0.617935
1286,0.616883
1287,0.607655
1288,0.618987
1289,0.618401
1290,0.618198
1291,0.610812
1292,0.617721
1293,0.616897
1294,0.616709
1295,0.611283
1296,0.622617
1297,0.610503
1298,0.616443
1299,0.616102
1300,0.612531
1301,0.617043
1302,0.616356
1303,0.618805
1304,0.607819
1305,0.615957
1306,0.620144
1307,0.614356
1308,0.608226
1309,0.622659
1310,0.615721
1311,0.609628
1312,0.611362
1313,0.620861
1314,0.616473
1315,0.623897
1316,0.617961
1317,0.617560
1318,0.613591
1319,0.614094
1320,0.622262
1321,0.615522
1322,0.618970
1323,0.613439
1324,0.609877
1325,0.623940
1326,0.617628
1327,0.622321
1328,0.613107
1329,0.615500
1330,0.613772
1331,0.613879
1332,0.610712
1333,0.613149
1334,0.614930
1335,0.618757
1336,0.619632
1337,0.618689
1338,0.616302
1339,0.614276
1340,0.616605
1341,0.618413
1342,0.619248
1343,0.618741
1344,0.623334
1345,0.622489
1346,0.617573
1347,0.615745
1348,0.621323
1349,0.620474
1350,0.628645
1351,0.622548
1352,0.628144
1353,0.623084
