X,Y
1,5.69826
2,5.67734
3,5.73803
4,5.71972
5,5.76679
6,5.76956
7,5.74071
8,5.69789
9,5.73044
10,5.78689
11,5.87286
12,5.78916
13,5.84585
14,5.74494
15,5.69310
16,5.74208
17,5.82674
18,5.89843
19,5.88146
20,6.04403
21,6.03494
22,5.89016
23,5.78919
24,5.73098
25,5.86592
26,5.93432
27,5.97088
28,5.97584
29,5.99884
30,6.19345
31,6.18202
32,6.22930
33,6.26463
34,6.27808
35,6.32503
36,6.38382
37,6.28811
38,6.38829
39,6.33989
40,6.41027
41,6.36895
42,6.23383
43,6.11278
44,6.03617
45,6.09622
46,5.98424
47,5.96523
48,5.86994
49,5.77050
50,5.92847
51,6.01113
52,6.16575
53,6.12557
54,6.19161
55,6.13566
56,6.08311
57,6.10331
58,6.42511
59,6.45763
60,6.24476
61,6.38297
62,6.42411
63,6.39971
64,6.45412
65,6.55423
66,6.63915
67,6.50114
68,6.46210
69,6.42743
70,6.64442
71,6.60111
72,6.66181
73,6.65090
74,6.58889
75,6.58973
76,6.84794
77,6.71028
78,6.76004
79,6.73330
80,6.63791
81,6.64254
82,6.74511
83,6.62196
84,6.61725
85,6.71563
86,6.65921
87,6.67600
88,6.81179
89,6.88054
90,6.53469
91,6.57808
92,6.48086
93,6.56548
94,6.64839
95,6.60482
96,6.70052
97,6.63189
98,6.64590
99,6.69973
100,6.66169
101,6.62118
102,6.37575
103,6.14732
104,6.14767
105,6.23686
106,6.55219
107,6.55011
108,6.60058
109,6.68297
110,6.85005
111,6.57408
112,6.68230
113,6.72582
114,6.76435
115,6.84373
116,6.76460
117,6.61352
118,6.72095
119,6.80158
120,6.78072
121,6.85018
122,6.72798
123,6.68680
124,6.70222
125,6.90653
126,6.71301
127,6.80107
128,6.72099
129,6.68829
130,6.54676
131,6.66544
132,6.63807
133,6.67268
134,6.68888
135,6.56052
136,6.54562
137,6.75424
138,6.60614
139,6.58379
140,6.66970
141,6.54094
142,6.57589
143,6.55535
144,6.53445
145,6.57150
146,6.48315
147,6.67955
148,6.55321
149,6.51837
150,6.51175
151,6.49742
152,6.46002
153,6.60164
154,6.37932
155,6.49090
156,6.45991
157,6.49352
158,6.52299
159,6.40642
160,6.32495
161,6.43626
162,6.50183
163,6.46512
164,6.45334
165,6.31709
166,6.52395
167,6.45782
168,6.44953
169,6.37099
170,6.26947
171,6.39524
172,6.31716
173,6.28623
174,6.27354
175,6.26722
176,6.33568
177,6.20523
178,6.22703
179,6.20540
180,6.25616
181,6.31526
182,6.31353
183,6.09007
184,6.32340
185,6.23116
186,6.14662
187,6.17465
188,6.12915
189,6.20379
190,6.10212
191,6.12873
192,6.04986
193,6.11337
194,6.00626
195,6.00661
196,6.01528
197,6.04443
198,5.99313
199,5.92175
200,5.78525
201,5.55745
202,5.90758
203,5.97434
204,6.07936
205,6.01602
206,5.96473
207,5.99091
208,5.91295
209,5.89307
210,5.90928
211,5.87591
212,5.92409
213,5.88196
214,5.96927
215,6.05909
216,5.77874
217,5.87079
218,5.83304
219,5.78446
220,5.89539
221,5.82012
222,5.65512
223,5.74954
224,5.79457
225,5.78393
226,5.85051
227,5.69773
228,5.82244
229,5.69706
230,5.64116
231,5.82631
232,5.75314
233,5.67644
234,5.59262
235,5.53819
236,5.63743
237,5.65872
238,5.59868
239,5.55909
240,5.52661
241,5.52054
242,5.52420
243,5.48205
244,5.53541
245,5.45341
246,5.44886
247,5.42629
248,5.42945
249,5.44974
250,5.42656
251,5.48731
252,5.41011
253,5.44732
254,5.37139
255,5.22935
256,5.37896
257,5.39656
258,5.33072
259,5.31033
260,5.20622
261,5.24511
262,5.16311
263,5.10416
264,4.94725
265,4.95267
266,5.01600
267,4.94087
268,4.98733
269,5.04192
270,4.97535
271,5.17479
272,5.20679
273,5.19021
274,5.16136
275,5.18817
276,5.16264
277,5.08618
