X,Y
1,1.025803
2,1.027222
3,1.029864
4,1.029095
5,1.032496
6,1.038683
7,1.042255
8,1.041075
9,1.034811
10,1.031851
11,1.032940
12,1.032937
13,1.034382
14,1.034205
15,1.035444
16,1.033757
17,1.039690
18,1.043947
19,1.043075
20,1.039344
21,1.039744
22,1.041730
23,1.041170
24,1.042075
25,1.040100
26,1.039565
27,1.039670
28,1.041171
29,1.044951
30,1.044430
31,1.044017
32,1.045077
33,1.042383
34,1.044845
35,1.046290
36,1.047861
37,1.046942
38,1.046885
39,1.045965
40,1.045166
41,1.043014
42,1.044637
43,1.044664
44,1.042792
45,1.043035
46,1.044672
47,1.046685
48,1.042266
49,1.042715
50,1.039558
51,1.037166
52,1.033218
53,1.033873
54,1.032068
55,1.031733
56,1.030735
57,1.031286
58,1.031165
59,1.030379
60,1.031257
61,1.029883
62,1.033145
63,1.030736
64,1.031253
65,1.033196
66,1.033105
67,1.030683
68,1.030431
69,1.033269
70,1.031308
71,1.032688
72,1.031527
73,1.032662
74,1.030777
75,1.035608
76,1.033276
77,1.031287
78,1.031884
79,1.032072
80,1.032167
81,1.029787
82,1.033136
83,1.034056
84,1.034016
85,1.033833
86,1.030535
87,1.032686
88,1.036177
89,1.031602
90,1.034612
91,1.034780
92,1.032455
93,1.033684
94,1.031252
95,1.029343
96,1.030546
97,1.029015
98,1.029608
99,1.030393
100,1.031999
101,1.033588
102,1.031161
103,1.027512
104,1.030063
105,1.029268
106,1.028998
107,1.029584
108,1.027462
109,1.028175
110,1.026703
111,1.025910
112,1.022568
113,1.025247
114,1.023841
115,1.026806
116,1.022097
117,1.023584
118,1.024926
119,1.025546
120,1.021427
121,1.021540
122,1.025474
123,1.024532
124,1.023340
125,1.019793
126,1.023318
127,1.024132
128,1.024648
129,1.022040
130,1.020450
131,1.023863
132,1.021866
133,1.023386
134,1.022928
135,1.023083
136,1.019879
137,1.021007
138,1.022997
139,1.018937
140,1.021510
141,1.022100
142,1.019938
143,1.021034
144,1.018165
145,1.021103
146,1.021731
147,1.023418
148,1.022668
149,1.020244
150,1.022136
151,1.022479
152,1.017792
153,1.022638
154,1.016064
155,1.016703
156,1.019956
157,1.020795
158,1.015964
159,1.018235
160,1.018847
161,1.017882
162,1.017011
163,1.020764
164,1.020000
165,1.016981
166,1.019841
167,1.019544
168,1.017498
169,1.016211
170,1.020100
171,1.017105
172,1.017713
173,1.015177
174,1.018578
175,1.016380
176,1.011810
177,1.014780
178,1.017241
179,1.019137
180,1.019418
181,1.013950
182,1.014450
183,1.017837
184,1.019061
185,1.019916
186,1.017702
187,1.012403
188,1.013234
189,1.013376
190,1.012968
191,1.012384
192,1.013095
193,1.010512
194,1.015130
195,1.015670
196,1.014970
197,1.010342
198,1.013617
199,1.012990
200,1.015056
201,1.015446
202,1.014266
203,1.012856
204,1.012304
205,1.016816
206,1.014040
207,1.012736
208,1.012998
209,1.018731
210,1.016433
211,1.017358
212,1.017596
213,1.014155
214,1.012987
215,1.013037
216,1.014308
217,1.014993
218,1.009777
219,1.015937
220,1.014170
221,1.015901
222,1.007855
223,1.010364
224,1.011237
225,1.011215
226,1.010998
227,1.005792
228,1.012254
229,1.013711
230,1.013586
231,1.011863
232,1.012525
233,1.007134
234,1.010132
235,1.010240
236,1.010824
237,1.012988
238,1.005288
239,1.013404
240,1.014026
241,1.012933
242,1.010242
243,1.005931
244,1.011486
245,1.008883
246,1.014344
247,1.014066
248,1.011466
249,1.009640
250,1.014799
251,1.009839
252,1.002406
253,1.012772
254,1.010823
255,1.009440
256,1.008816
257,1.007407
258,1.006699
259,1.007543
260,1.005342
261,1.008782
262,1.014232
263,1.010174
264,1.010718
265,1.010959
266,1.011062
267,1.008006
268,1.009001
269,1.006369
270,1.012159
271,1.005054
272,1.005571
273,1.010612
274,1.011485
275,1.008452
276,1.003927
277,1.005799
278,1.007722
279,1.008004
280,1.006563
281,1.011579
282,1.005452
283,1.005316
284,1.005801
285,1.009542
286,1.007274
287,1.007169
288,1.005096
289,1.006205
290,1.005359
291,1.008466
292,1.007593
293,1.002339
294,1.005804
295,1.007874
296,1.006137
297,1.010814
298,1.005446
299,1.007160
300,1.005533
301,1.003628
302,1.008941
303,1.007750
304,1.000785
305,1.008479
306,1.004033
307,1.007704
308,1.005828
309,1.005193
310,1.008043
311,1.004094
312,1.010207
313,1.006832
314,1.004105
315,1.005281
316,0.998208
317,1.001652
318,1.004037
319,1.004978
320,1.008508
321,1.009297
322,1.003139
323,1.008667
324,1.005978
325,1.004566
326,1.003476
327,1.000315
328,1.006046
329,1.006972
330,1.005546
331,1.005496
332,1.005264
333,1.005973
334,1.005984
335,1.001781
336,1.002157
337,1.004257
338,1.003673
339,0.998986
340,1.002886
341,0.999492
342,1.005052
343,1.002071
344,1.005139
345,1.003297
346,1.005238
347,0.997245
348,1.004798
349,1.004039
350,1.001597
351,0.998178
352,1.003633
353,1.001322
354,1.001044
355,1.000192
356,1.003357
357,1.005578
358,0.999783
359,0.999098
360,1.001758
361,1.005817
362,0.998594
363,1.000110
364,1.000915
365,1.001506
366,0.999922
367,1.004312
368,1.002967
369,1.004267
370,1.004031
371,1.010157
372,1.005014
373,1.003099
374,1.001226
375,0.993892
376,0.997482
377,0.994064
378,1.000114
379,1.002983
380,1.002273
381,1.005267
382,1.003980
383,1.002517
384,1.001958
385,1.002622
386,1.006181
387,1.004423
388,1.006843
389,1.003199
390,1.006727
391,1.000683
392,0.997164
393,0.999999
394,1.002270
395,1.003495
396,0.999984
397,1.001302
398,0.998775
399,1.002125
400,0.997727
401,1.000020
402,0.999840
403,0.997026
404,1.000143
405,1.001613
406,1.003659
407,1.002960
408,1.002805
409,0.994991
410,0.997609
411,0.998802
412,0.997661
413,0.997433
414,0.999335
415,0.997046
416,1.004299
417,1.001675
418,1.002610
419,1.001279
420,1.002131
421,0.998401
422,0.996323
423,1.004653
424,1.003606
425,0.992613
426,0.996165
427,0.996374
428,0.994007
429,0.997621
430,0.998720
431,0.999573
432,0.991945
433,0.997768
434,1.000137
435,0.993933
436,1.000203
437,0.992493
438,0.995495
439,0.992517
440,0.998068
441,0.999028
442,0.995752
443,1.000615
444,0.997581
445,0.997481
446,0.994872
447,0.999097
448,0.999924
449,0.994405
450,0.997591
451,0.996608
452,0.999748
453,0.996188
454,0.992272
455,0.995525
456,0.992275
457,0.997704
458,0.992052
459,0.987109
460,0.988805
461,0.997247
462,1.000814
463,0.998860
464,0.995694
465,0.999617
466,0.996144
467,0.991211
468,0.993171
469,0.991892
470,0.988942
471,0.997291
472,1.000243
473,0.992616
474,0.995255
475,0.996267
476,0.990969
477,0.991600
478,0.997497
479,0.997298
480,0.993722
481,0.996927
482,0.994201
483,0.995548
484,0.995015
485,0.997001
486,0.996406
