X,Y
1,1.020442
2,1.024360
3,1.028913
4,1.032005
5,1.029736
6,1.028924
7,1.031164
8,1.032131
9,1.027279
10,1.022112
11,1.022951
12,1.025007
13,1.029001
14,1.029154
15,1.029615
16,1.033447
17,1.036200
18,1.040303
19,1.040379
20,1.033081
21,1.032519
22,1.030397
23,1.032085
24,1.029947
25,1.028036
26,1.029988
27,1.032291
28,1.032298
29,1.034662
30,1.033498
31,1.034789
32,1.036282
33,1.036013
34,1.036534
35,1.038743
36,1.038995
37,1.038955
38,1.041015
39,1.037821
40,1.036110
41,1.036959
42,1.037135
43,1.040129
44,1.040664
45,1.038847
46,1.034643
47,1.033268
48,1.033759
49,1.030122
50,1.026635
51,1.026144
52,1.024631
53,1.020697
54,1.023051
55,1.021758
56,1.021810
57,1.020369
58,1.019894
59,1.020374
60,1.017966
61,1.021834
62,1.020085
63,1.020817
64,1.021724
65,1.018683
66,1.018184
67,1.019866
68,1.020575
69,1.022478
70,1.023250
71,1.021613
72,1.018788
73,1.019862
74,1.024315
75,1.023720
76,1.025490
77,1.023054
78,1.024886
79,1.024564
80,1.021537
81,1.024260
82,1.023062
83,1.029002
84,1.027490
85,1.024777
86,1.026018
87,1.026562
88,1.026028
89,1.025010
90,1.024626
91,1.026491
92,1.023409
93,1.025445
94,1.026546
95,1.024056
96,1.023110
97,1.020318
98,1.021379
99,1.023748
100,1.020286
101,1.020692
102,1.022178
103,1.020529
104,1.018934
105,1.020271
106,1.019687
107,1.020379
108,1.018147
109,1.016903
110,1.017532
111,1.015596
112,1.014845
113,1.015113
114,1.019344
115,1.014722
116,1.012822
117,1.012810
118,1.010894
119,1.014105
120,1.013049
121,1.013931
122,1.012338
123,1.014657
124,1.015776
125,1.012934
126,1.011369
127,1.011359
128,1.012961
129,1.009597
130,1.011234
131,1.013266
132,1.010948
133,1.010168
134,1.010558
135,1.010873
136,1.011474
137,1.013326
138,1.010993
139,1.010834
140,1.007871
141,1.007750
142,1.009060
143,1.009215
144,1.008129
145,1.009430
146,1.006945
147,1.009791
148,1.010589
149,1.011437
150,1.006440
151,1.006322
152,1.004739
153,1.004000
154,1.004067
155,1.002226
156,1.004321
157,1.006491
158,1.008113
159,1.009308
160,1.006809
161,1.003416
162,1.007481
163,1.007895
164,1.004880
165,1.005768
166,1.003430
167,1.005971
168,1.008557
169,1.001292
170,1.002940
171,1.003187
172,1.003853
173,1.007394
174,1.001434
175,1.002247
176,1.001461
177,1.001920
178,1.003355
179,1.004735
180,1.001862
181,1.004500
182,1.001762
183,1.004630
184,1.007159
185,1.003071
186,1.004842
187,1.002349
188,1.000332
189,0.996885
190,0.998828
191,0.999550
192,1.001946
193,1.001160
194,0.997360
195,1.001926
196,1.001721
197,1.000113
198,0.998988
199,0.997002
200,0.998074
201,0.999708
202,1.001353
203,1.000709
204,0.999497
205,1.000092
206,1.000998
207,1.001404
208,1.001052
209,0.996701
210,1.003856
211,1.003502
212,0.996594
213,1.000433
214,0.996673
215,1.000343
216,0.998809
217,0.998960
218,0.997309
219,0.998021
220,0.997175
221,0.999512
222,0.997781
223,0.992677
224,0.985231
225,0.983710
226,0.986940
227,0.990770
228,0.993298
229,0.996914
230,0.997468
231,0.995326
232,0.995835
233,0.986218
234,0.988329
235,0.991722
236,0.994955
237,0.993775
238,0.995332
239,0.997597
240,0.998408
241,0.997960
242,0.995354
243,0.992103
244,0.991296
245,0.990828
246,0.998159
247,0.999290
248,1.000454
249,0.997923
250,0.996206
251,0.995721
252,0.994428
253,0.994199
254,0.990364
255,0.990325
256,0.990284
257,0.989740
258,0.991395
259,0.986177
260,0.982642
261,0.990258
262,0.989770
263,0.993590
264,0.993559
265,0.995535
266,0.993103
267,0.998122
268,0.995945
269,0.991800
270,0.996937
271,0.996274
272,0.994888
273,0.993544
274,0.990412
275,0.991172
276,0.993831
277,0.995385
278,0.989200
279,0.991679
280,0.992363
281,0.994729
282,0.994053
283,0.992749
284,0.990396
285,0.986545
286,0.988848
287,0.991776
288,0.989196
289,0.991219
290,0.992760
291,0.993370
292,0.994263
293,0.993831
294,0.992869
295,0.984999
296,0.990579
297,0.989404
298,0.985004
299,0.985658
300,0.988242
301,0.989488
302,0.990635
303,0.988422
304,0.991406
305,0.989232
306,0.988733
307,0.993280
308,0.983349
309,0.985994
310,0.986172
311,0.989722
312,0.988716
313,0.985660
314,0.987039
315,0.983886
316,0.978720
317,0.981120
318,0.982456
319,0.985135
320,0.989480
321,0.987128
322,0.987521
323,0.990631
324,0.988805
325,0.989199
326,0.988224
327,0.984217
328,0.982445
329,0.989382
330,0.989458
331,0.982121
332,0.983787
333,0.991960
334,0.989957
335,0.990538
336,0.992975
337,0.987050
338,0.992741
339,0.984997
340,0.987481
341,0.987178
342,0.988530
343,0.987537
344,0.978719
345,0.973582
346,0.972958
347,0.979378
348,0.980157
349,0.982162
350,0.988046
351,0.987531
352,0.985409
353,0.986453
354,0.982518
355,0.988737
356,0.989860
357,0.985776
358,0.986018
359,0.980355
360,0.981035
361,0.974633
362,0.976902
363,0.983625
364,0.988402
365,0.984715
366,0.990481
367,0.983904
368,0.987790
369,0.991900
370,0.986635
371,0.983344
372,0.983136
373,0.985632
374,0.984979
375,0.981169
376,0.988215
377,0.984727
378,0.974170
379,0.974822
380,0.974259
381,0.973353
382,0.976758
383,0.986397
384,0.985933
385,0.986410
386,0.985793
387,0.985442
388,0.982380
389,0.987814
390,0.990006
391,0.990955
392,0.989664
393,0.984405
394,0.978705
395,0.984971
396,0.985131
397,0.983331
398,0.983043
399,0.988492
400,0.986938
401,0.987923
402,0.987534
403,0.986733
404,0.986413
405,0.986481
406,0.986764
407,0.982333
408,0.985258
409,0.986160
410,0.984198
411,0.980957
412,0.977893
413,0.979693
414,0.985245
415,0.983540
416,0.977299
417,0.985189
418,0.982799
419,0.984418
420,0.984824
421,0.978840
422,0.980897
423,0.984706
424,0.983316
425,0.984857
426,0.980563
427,0.987632
428,0.985312
429,0.984729
430,0.984896
431,0.981204
432,0.983819
433,0.979089
434,0.979199
435,0.982094
436,0.984868
437,0.981628
438,0.980622
439,0.981683
440,0.977677
441,0.983932
442,0.981443
443,0.979081
444,0.980295
445,0.980266
446,0.977847
447,0.980168
448,0.976916
449,0.978872
450,0.978722
451,0.980824
452,0.984728
453,0.973575
454,0.978015
455,0.974597
456,0.971146
457,0.965233
458,0.962546
459,0.964602
460,0.971609
461,0.971675
462,0.978301
463,0.981462
464,0.984586
465,0.974584
466,0.981201
467,0.976135
468,0.977224
469,0.976234
470,0.973719
471,0.975878
472,0.976793
473,0.981567
474,0.978844
475,0.968809
476,0.966582
477,0.970260
478,0.977551
479,0.972139
480,0.979234
481,0.976090
482,0.974961
483,0.977423
484,0.975827
485,0.979178
486,0.973380
487,0.977072
488,0.966878
489,0.975479
490,0.975639
491,0.976297
492,0.970587
493,0.965469
494,0.965305
495,0.966324
496,0.974100
497,0.980079
498,0.972521
499,0.976675
500,0.972487
501,0.965209
502,0.968422
503,0.966383
504,0.950817
505,0.938253
506,0.946131
507,0.953906
508,0.963925
509,0.965414
510,0.963640
511,0.966875
512,0.971677
513,0.975573
514,0.972699
515,0.975124
516,0.974838
517,0.976702
518,0.978513
519,0.969323
520,0.972317
521,0.979132
522,0.984473
523,0.981245
524,0.975770
525,0.980148
526,0.973923
527,0.973967
528,0.975251
529,0.976112
530,0.979813
531,0.973536
532,0.974585
533,0.973483
534,0.973681
535,0.970918
536,0.974122
537,0.970530
538,0.973418
539,0.975444
540,0.972018
541,0.972159
542,0.969922
543,0.967218
544,0.965541
545,0.957740
546,0.954544
547,0.963804
548,0.977081
549,0.975251
550,0.971308
551,0.972403
552,0.972766
553,0.973412
554,0.973911
555,0.976869
556,0.971607
557,0.965765
558,0.968536
559,0.972498
560,0.977231
561,0.974540
562,0.970950
563,0.964520
564,0.976230
565,0.972377
566,0.972082
567,0.977517
568,0.983491
569,0.975609
570,0.971367
571,0.971445
572,0.966537
573,0.975634
574,0.972943
575,0.973613
576,0.972315
577,0.973766
578,0.968937
579,0.977368
580,0.973935
581,0.968536
582,0.962475
583,0.951810
584,0.949144
585,0.952757
586,0.957049
587,0.960776
588,0.962461
589,0.966105
590,0.973096
591,0.972185
592,0.966095
593,0.969274
594,0.976993
595,0.963068
596,0.969257
597,0.959724
598,0.962642
599,0.963960
600,0.973682
601,0.971318
602,0.968931
603,0.974450
604,0.977272
605,0.976043
606,0.961696
607,0.958775
608,0.965419
609,0.957643
610,0.953545
611,0.962458
612,0.964088
613,0.963167
614,0.973443
615,0.971205
616,0.969307
617,0.972301
618,0.969602
619,0.972716
620,0.970470
621,0.977987
622,0.974992
623,0.970489
624,0.971258
625,0.973830
626,0.970014
627,0.968069
628,0.970894
629,0.968617
630,0.969114
631,0.968234
632,0.967323
633,0.967433
634,0.970729
635,0.978158
636,0.970743
637,0.973128
638,0.972171
639,0.964482
640,0.962797
641,0.965894
642,0.966745
643,0.962605
644,0.959297
645,0.949074
646,0.959936
647,0.961315
648,0.960707
649,0.960886
650,0.970099
651,0.961023
652,0.944310
653,0.928750
654,0.926333
655,0.932390
656,0.948884
657,0.955141
658,0.960192
659,0.971127
660,0.972266
661,0.968246
662,0.967481
663,0.972135
664,0.973788
665,0.964959
666,0.969220
667,0.965042
668,0.959034
669,0.962577
670,0.962720
